POSITION	SEASON	GP	PPG	PER	MPG	RPG	APG	SPG	BPG	TPG	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	MIN	PTS	REB	AST	STL	BLK	TOV	PF	+/-
Point Guard	1992-93	4447	9.8	15.2	24.6	2.3	4.9	1.2	0.1	1.7	3.7	8.1	45.7	0.5	1.3	34.8	1.9	2.4	79.8	109,318	43,579	10,341	21,889	5,138	639	7,731	8,603	
Shooting Guard	1992-93	4272	12.1	15	25.1	2.9	2.7	1.0	0.3	1.6	4.6	10.1	46.1	0.6	1.7	34.9	2.2	2.8	79.2	107,352	51,733	12,206	11,605	4,373	1,130	6,735	9,034	
Small Forward	1992-93	4298	11.1	14.5	24.3	4.0	2.0	0.8	0.4	1.5	4.3	9.3	46.7	0.3	1.0	33.0	2.1	2.7	76.5	104,620	47,750	17,018	8,695	3,606	1,742	6,269	9,293	
Power Forward	1992-93	4999	10.5	15.3	24.2	6.1	1.5	0.7	0.7	1.5	4.1	8.3	49.0	0.1	0.3	27.6	2.2	3.0	73.3	120,840	52,418	30,579	7,594	3,430	3,316	7,524	12,970	
Center	1992-93	4495	8.4	15	20.7	5.6	1.1	0.5	1.1	1.3	3.3	6.6	49.6	0.0	0.1	25.1	1.8	2.6	69.1	93,030	37,593	25,360	4,922	2,385	4,731	5,894	11,369	
Point Guard	1993-94	4572	9.4	15	24.1	2.3	4.7	1.1	0.1	1.8	3.6	8.1	44.5	0.5	1.4	34.1	1.7	2.2	78.6	110,282	43,159	10,337	21,629	5,244	591	8,079	8,054	
Shooting Guard	1993-94	4284	11.7	14.7	25.5	2.9	2.7	1.1	0.3	1.6	4.5	9.9	45.0	0.6	1.8	34.1	2.2	2.8	78.9	109,364	50,169	12,297	11,493	4,546	1,209	6,976	8,325	
Small Forward	1993-94	4346	10.7	14.6	24.4	4.2	1.9	0.9	0.4	1.4	4.2	9.1	45.9	0.4	1.3	33.0	1.9	2.6	73.2	106,069	46,414	18,395	8,296	3,845	1,920	6,262	9,349	
Power Forward	1993-94	4607	9.2	15.2	23.1	6.0	1.5	0.7	0.6	1.4	3.6	7.5	48.3	0.1	0.4	29.7	1.9	2.7	69.9	106,430	42,346	27,704	6,933	3,219	2,887	6,347	11,242	
Center	1993-94	4750	9.0	15.7	21.4	5.6	1.2	0.6	1.0	1.4	3.5	7.1	49.9	0.0	0.1	28.4	1.9	2.8	68.1	101,665	42,649	26,459	5,652	2,798	4,972	6,546	12,105	
Point Guard	1994-95	4447	9.5	15.4	24.4	2.3	4.8	1.1	0.1	1.8	3.5	7.8	44.5	0.8	2.2	36.5	1.8	2.3	78.6	108,464	42,358	10,071	21,558	4,911	615	8,056	8,448	
Shooting Guard	1994-95	4428	11.3	14.4	24.9	2.7	2.4	0.9	0.2	1.5	4.1	9.2	44.3	1.0	2.8	36.1	2.1	2.7	78.4	110,227	50,062	11,876	10,789	4,045	1,084	6,712	9,185	
Small Forward	1994-95	4468	11.0	14.8	24.6	3.9	1.8	0.8	0.4	1.5	4.1	8.9	45.9	0.7	1.9	36.1	2.1	2.9	74.9	109,869	49,180	17,628	8,083	3,783	1,873	6,639	10,223	
Power Forward	1994-95	4595	9.5	15.4	23.5	5.8	1.5	0.7	0.7	1.4	3.7	7.6	49.1	0.2	0.5	32.3	1.9	2.8	68.6	107,951	43,810	26,696	6,896	3,294	2,996	6,580	11,797	
Center	1994-95	4493	8.7	15	22.1	5.7	1.0	0.5	1.1	1.4	3.4	6.8	50.3	0.1	0.2	32.4	1.8	2.6	68.8	99,099	39,108	25,735	4,403	2,297	4,862	6,133	12,308	
Point Guard	1995-96	4760	9.9	15.8	24.5	2.3	4.6	1.1	0.1	1.8	3.5	8.1	43.8	0.9	2.6	36.9	1.9	2.5	78.3	116,533	47,323	10,962	21,946	5,100	662	8,701	9,321	
Shooting Guard	1995-96	4874	11.2	14.7	25.4	2.9	2.4	0.9	0.3	1.5	4.0	9.1	44.6	1.0	2.7	37.1	2.1	2.7	79.0	123,815	54,698	14,124	11,742	4,504	1,268	7,395	10,106	
Small Forward	1995-96	4699	10.8	14.8	25.7	4.3	2.0	0.8	0.4	1.5	4.0	8.8	45.8	0.8	2.0	37.2	2.0	2.7	74.8	120,591	50,904	20,171	9,523	3,878	2,007	7,141	10,664	
