"","Season","Player","Pos","Age","Tm","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","Player-additional"
"13438","2011-2012","Serge Ibaka","PF",22,"OKC",66,1792,19,0.556,0.006,0.241,13.2,18.2,15.9,2.5,1,9.8,12.7,15.7,3,3.2,6.2,0.167,0.1,2.3,2.3,1.9,"ibakase01"
"13439","2011-2012","Andre Iguodala","SF",28,"PHI",62,2209,17.6,0.537,0.305,0.31,2.8,16.4,9.6,23.7,2.6,1,13.8,17.7,3.1,4.2,7.3,0.158,1.5,2.5,4,3.3,"iguodan01"
"13440","2011-2012","Ersan İlyasova","PF",24,"MIL",60,1655,20.5,0.577,0.188,0.307,12.7,22.8,17.6,7,1.3,2,10.1,20.1,4.4,2,6.4,0.185,3.1,-1.1,1.9,1.6,"ilyaser01"
"13441","2011-2012","Kyrie Irving","PG",19,"CLE",51,1558,21.4,0.566,0.245,0.262,3.1,11.2,7,36.5,1.8,1,16.1,28.7,3.4,0.6,4.1,0.125,4.6,-0.5,4.1,2.4,"irvinky01"
"13442","2011-2012","Royal Ivey","SG",30,"OKC",34,354,4.7,0.464,0.726,0.11,0.3,6.9,3.9,4.1,2,0,10.5,10.9,-0.1,0.3,0.2,0.025,-4.3,0.5,-3.7,-0.1,"iveyro01"
"13443","2011-2012","Jarrett Jack","PG",28,"NOH",45,1530,17.9,0.54,0.192,0.254,1.8,11.7,6.8,34,1.1,0.5,14.1,23.3,2.9,0.9,3.8,0.119,2.5,-0.9,1.6,1.4,"jackja01"
"13444","2011-2012","Reggie Jackson","PG",21,"OKC",45,501,9.2,0.408,0.39,0.182,3.4,8.3,6,21.2,2.6,0.1,17.3,18.7,-0.4,0.5,0.1,0.011,-3.3,-0.3,-3.6,-0.2,"jacksre01"
"13445","2011-2012","Stephen Jackson","SF",33,"TOT",47,1212,10.7,0.485,0.4,0.268,2,13.1,7.6,14.6,2.3,0.8,17.8,21.3,-0.7,1.3,0.6,0.025,-2.6,0.2,-2.3,-0.1,"jacksst02"
"13446","2011-2012","Stephen Jackson","SF",33,"MIL",26,712,8.9,0.459,0.397,0.221,2.4,10.5,6.4,16.6,1.9,0.6,18.1,22.5,-0.8,0.5,-0.3,-0.019,-3.1,-0.8,-3.9,-0.3,"jacksst02"
"13447","2011-2012","Stephen Jackson","SF",33,"SAS",21,500,13.1,0.529,0.405,0.353,1.4,16.9,9.3,11.8,2.9,1,17.3,19.5,0.1,0.8,0.9,0.086,-1.8,1.7,-0.1,0.2,"jacksst02"
"13448","2011-2012","Damion James","SF",24,"NJN",7,170,6.1,0.422,0.029,0.343,4.6,18.3,11.3,2.8,2.2,3.2,23,14.1,-0.3,0.1,-0.2,-0.043,-6.2,0.2,-6,-0.2,"jamesda01"
"13449","2011-2012","LeBron James","SF",27,"MIA",62,2326,30.7,0.605,0.127,0.429,5,19.7,12.6,33.6,2.6,1.7,13.3,32,10,4.5,14.5,0.298,8.2,2.7,10.9,7.6,"jamesle01"
"13450","2011-2012","Mike James","PG",36,"CHI",11,120,13.7,0.505,0.204,0.163,1.9,7.3,4.6,39.8,1.8,1.2,21,25.3,0.1,0.2,0.3,0.111,-0.8,0.4,-0.4,0,"jamesmi01"
"13451","2011-2012","Antawn Jamison","PF",35,"CLE",65,2151,16.1,0.481,0.256,0.26,6.3,15.7,10.8,11.9,1.2,1.5,7.2,26.2,2.1,1,3.1,0.07,1.4,-1.6,-0.3,0.9,"jamisan01"
"13452","2011-2012","Al Jefferson","C",27,"UTA",61,2075,22.8,0.52,0.004,0.169,7.3,25.3,16.2,12.1,1.2,3.9,5.2,25.7,4.9,2.5,7.5,0.173,3.5,0.2,3.7,3,"jeffeal01"
"13453","2011-2012","Richard Jefferson","SF",31,"TOT",63,1748,11.1,0.55,0.551,0.174,1.7,12.4,7.2,7.3,1.1,0.8,8.7,15.1,1.9,1.2,3.1,0.085,-0.2,-0.3,-0.5,0.6,"jefferi01"
"13454","2011-2012","Richard Jefferson","SF",31,"SAS",41,1168,10.9,0.556,0.596,0.157,1.8,12,7,6.7,1.1,0.7,8.6,14.6,1.4,1,2.4,0.1,0,0.2,0.2,0.6,"jefferi01"
"13455","2011-2012","Richard Jefferson","SF",31,"GSW",22,580,11.6,0.54,0.467,0.207,1.6,13.3,7.4,8.6,1.1,0.9,8.9,16.1,0.6,0.1,0.7,0.056,-0.6,-1.5,-2,0,"jefferi01"
"13456","2011-2012","Jared Jeffries","PF",30,"NYK",39,729,10.9,0.484,0.111,0.5,10.8,13.3,12,5.4,2,2.7,14.2,12.6,0.5,1.1,1.7,0.109,-2.3,1.4,-1,0.2,"jeffrja01"
"13457","2011-2012","Charles Jenkins","PG",22,"GSW",51,893,12.4,0.482,0.069,0.134,1,7.6,4.3,29.9,1.9,0.5,16.3,19,0.4,0.1,0.5,0.028,-2.7,-1.5,-4.2,-0.5,"jenkich01"
"13458","2011-2012","Brandon Jennings","PG",22,"MIL",66,2331,18.4,0.514,0.346,0.213,2.3,8.6,5.3,26.7,2.3,0.7,10.6,25.9,3.8,1.8,5.5,0.114,3,-0.3,2.7,2.8,"jennibr01"
"13459","2011-2012","Jonas Jerebko","PF",24,"DET",64,1468,14.2,0.548,0.234,0.274,7.6,17.8,12.5,5.1,1.5,1.1,11.5,18.1,2,1.3,3.3,0.108,-0.8,-0.7,-1.5,0.2,"jerebjo01"
