"","Season","Player","Pos","Age","Tm","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","Player-additional"
"5040","1996-1997","Clyde Drexler*","SG",34,"HOU",62,2271,19.9,0.548,0.373,0.298,6.3,12.4,9.5,26.4,2.7,1.2,13.3,23.5,4.8,3.4,8.1,0.172,3.4,1.5,4.8,3.9,"drexlcl01"
"5041","1996-1997","Nate Driggers","SG",23,"BOS",15,132,6.8,0.366,0.209,0.326,9.7,9.4,9.6,6.8,1.1,1.1,10.9,17.9,-0.2,0,-0.2,-0.059,-4.5,-3.1,-7.5,-0.2,"driggna01"
"5042","1996-1997","Kevin Duckworth","C",32,"LAC",26,384,6.1,0.473,0.039,0.155,6.7,11.7,9.1,6.6,1.2,2.2,23.1,16.6,-0.5,0.3,-0.2,-0.03,-5.7,0,-5.7,-0.3,"duckwke01"
"5043","1996-1997","Chris Dudley","C",31,"POR",81,1840,10.1,0.449,0,0.468,13.5,24.4,19.1,3.2,1.1,4,18.5,10.6,0,3.4,3.5,0.091,-2.9,1.1,-1.9,0,"dudlech02"
"5044","1996-1997","Joe Dumars*","SG",33,"DET",79,2923,15.6,0.586,0.439,0.293,1.7,6.4,4.1,18.7,1.1,0,11.5,18.9,6.8,2,8.8,0.144,2.6,-1,1.6,2.7,"dumarjo01"
"5045","1996-1997","Tony Dumas","SG",24,"TOT",24,278,5.2,0.402,0.292,0.26,1.2,5.5,3.3,15,1.9,0.6,13,20.3,-0.5,0.1,-0.3,-0.055,-6.9,-0.7,-7.6,-0.4,"dumasto01"
"5046","1996-1997","Tony Dumas","SG",24,"DAL",18,227,6.1,0.413,0.312,0.299,1.5,5.7,3.6,16.4,2.4,0.3,14.7,20.7,-0.4,0.1,-0.2,-0.046,-6.6,-0.3,-6.9,-0.3,"dumasto01"
"5047","1996-1997","Tony Dumas","SG",24,"PHO",6,51,1.2,0.352,0.211,0.105,0,4.5,2.3,8.7,0,1.5,4.8,18.4,-0.1,0,-0.1,-0.092,-8.2,-2.5,-10.7,-0.1,"dumasto01"
"5048","1996-1997","Acie Earl","C",26,"TOT",47,500,10.7,0.433,0.028,0.467,8,14.7,11.3,6.7,1.6,4.5,13.9,22.7,-0.5,0.5,0,-0.004,-4.3,-0.2,-4.5,-0.3,"earlac01"
"5049","1996-1997","Acie Earl","C",26,"TOR",38,457,10,0.431,0.032,0.446,8.2,13.7,10.9,6.5,1.4,4.7,14.9,21.6,-0.5,0.4,-0.1,-0.012,-4.4,-0.2,-4.5,-0.3,"earlac01"
"5050","1996-1997","Acie Earl","C",26,"MIL",9,43,18.6,0.446,0,0.609,5.7,25.5,15.7,8.2,3.7,1.7,6.4,33.6,0,0.1,0.1,0.088,-3.4,-0.6,-3.9,0,"earlac01"
"5051","1996-1997","Tyus Edney","PG",23,"SAC",70,1376,12.7,0.499,0.107,0.55,2.9,6.8,4.8,25.4,2.3,0.1,18.7,19.5,0.7,0.8,1.5,0.054,-1.6,-0.8,-2.4,-0.1,"edneyty01"
"5052","1996-1997","Blue Edwards","SF",31,"VAN",61,1439,10,0.472,0.194,0.238,3.9,11.5,7.6,13.5,1.4,1.1,13.8,18.9,-0.4,0.3,-0.1,-0.003,-3.2,-1.6,-4.8,-1,"edwarbl01"
"5053","1996-1997","Kevin Edwards","PG",31,"NJN",32,477,9.8,0.47,0.235,0.235,1.9,8.2,4.9,19.5,1.9,0.6,19.5,22.4,-0.4,0.2,-0.2,-0.021,-2.9,-2.1,-5.1,-0.4,"edwarke01"
"5054","1996-1997","Craig Ehlo","SG",35,"SEA",62,848,7.6,0.412,0.383,0.105,5.6,10.1,7.8,12.3,2.3,0.4,14.8,16.4,-0.7,1,0.3,0.018,-3.3,0.1,-3.2,-0.2,"ehlocr01"
"5055","1996-1997","Howard Eisley","PG",24,"UTA",82,1083,11.1,0.53,0.234,0.289,2.4,7,4.8,27.7,2.2,0.8,24.1,19.6,0.1,1.1,1.2,0.052,-2,-0.3,-2.2,-0.1,"eisleho01"
"5056","1996-1997","Mario Elie","SF",33,"HOU",78,2687,14.3,0.662,0.489,0.395,2.7,7.2,5.1,17.6,1.8,0.3,16.4,13.9,6.3,2.6,8.9,0.159,0.8,0.7,1.5,2.4,"eliema01"
"5057","1996-1997","Sean Elliott","SF",28,"SAS",39,1393,14,0.529,0.272,0.422,4,12.7,8.2,15.5,0.9,1.4,13.9,21.3,1.4,0.1,1.5,0.051,0.3,-1.7,-1.4,0.2,"elliose01"
"5058","1996-1997","Dale Ellis","SF",36,"DEN",82,2940,12.9,0.537,0.459,0.228,3.9,7.4,5.7,9.8,1.1,0.2,10.3,21.5,3.2,0,3.1,0.051,0.4,-2.3,-1.9,0,"ellisda01"
"5059","1996-1997","LaPhonso Ellis","PF",26,"DEN",55,2002,18.2,0.529,0.255,0.278,6.2,15.7,11,12.7,1.1,1.4,9.3,28,2.7,0.9,3.6,0.087,2.2,-1.7,0.5,1.3,"ellisla01"
"5060","1996-1997","Pervis Ellison","PF",29,"BOS",6,125,6.5,0.412,0,0.313,7.7,17,12,4.4,2,5.4,27.8,8.7,-0.1,0.1,0,-0.001,-5.2,2.2,-3.1,0,"ellispe01"
"5061","1996-1997","Brian Evans","SF",23,"ORL",14,59,11.7,0.455,0.364,0,1.9,14.3,8,20.5,0.9,2.6,8.3,18.7,0,0.1,0.1,0.07,0.1,0.6,0.7,0,"evansbr01"
"5062","1996-1997","Patrick Ewing*","C",34,"NYK",78,2887,21.3,0.548,0.007,0.434,7.5,26.4,17.3,10.8,1.3,5.3,14.4,29.8,2.9,6.9,9.8,0.163,0.9,1.9,2.8,3.5,"ewingpa01"
"5063","1996-1997","Jamie Feick","PF-C",22,"TOT",41,624,11.1,0.405,0.089,0.427,15.3,26.3,20.6,6.6,1.4,1.8,14.3,16.2,-0.3,0.5,0.2,0.016,-3.5,-2.3,-5.8,-0.6,"feickja01"
"5064","1996-1997","Jamie Feick","C",22,"CHH",3,10,16.3,0.512,0.25,0.5,12.5,23.5,18.2,0,0,7.5,0,23,0,0,0,0.098,-1.6,-1.5,-3.1,0,"feickja01"
"5065","1996-1997","Jamie Feick","PF",22,"SAS",38,614,11,0.402,0.085,0.425,15.3,26.3,20.6,6.7,1.4,1.7,14.6,16.1,-0.3,0.5,0.2,0.014,-3.6,-2.3,-5.9,-0.6,"feickja01"
"5066","1996-1997","Duane Ferrell","SF",31,"IND",62,1115,11.6,0.521,0.131,0.279,6.2,8.8,7.5,10.3,1.8,0.4,12.7,18,0.7,1.1,1.9,0.081,-1.3,0.4,-0.9,0.3,"ferredu01"
"5067","1996-1997","Danny Ferry","PF",30,"CLE",82,2633,11.7,0.523,0.358,0.11,4,12.8,8.3,10.4,1.2,1.1,10.1,17.6,2.2,3.4,5.6,0.102,-0.6,0.2,-0.4,1,"ferryda01"
"5068","1996-1997","Michael Finley","SF",23,"TOT",83,2790,14.5,0.53,0.261,0.229,3.6,11.9,7.8,14.3,1.3,0.7,12.2,22,2.3,1.6,3.9,0.067,1,-0.7,0.3,1.6,"finlemi01"
"5069","1996-1997","Michael Finley","SF",23,"PHO",27,796,14.6,0.538,0.185,0.232,5,12.5,8.8,13.9,1.2,0.4,11.8,21,0.8,0.4,1.2,0.074,0.7,-0.6,0.1,0.4,"finlemi01"
"5070","1996-1997","Michael Finley","SF",23,"DAL",56,1994,14.5,0.527,0.291,0.227,3.1,11.7,7.3,14.4,1.4,0.8,12.4,22.4,1.5,1.1,2.7,0.064,1.1,-0.8,0.3,1.2,"finlemi01"
"5071","1996-1997","Matt Fish","C",27,"TOT",6,8,-3.2,0.333,0,0,14.8,57.7,36.6,0,0,0,40,28.1,-0.1,0,0,-0.287,-16,-3,-19,0,"fishma01"
"5072","1996-1997","Matt Fish","C",27,"WSB",5,7,-3.7,0.333,0,0,17,65.9,41.8,0,0,0,40,32.1,-0.1,0,0,-0.331,-17.7,-3.4,-21.1,0,"fishma01"
"5073","1996-1997","Matt Fish","C",27,"MIA",1,1,0,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0.025,-4.1,-0.4,-4.5,0,"fishma01"
"5074","1996-1997","Derek Fisher","PG",22,"LAL",80,921,11,0.491,0.279,0.458,3.1,8.8,6,20.1,2.3,0.4,18.4,18.8,0,1,1.1,0.056,-2.9,0.2,-2.7,-0.1,"fishede01"
"5075","1996-1997","Greg Foster","C",28,"UTA",79,920,8.4,0.508,0.012,0.265,8.1,16.8,12.7,5,0.6,1.8,16.5,16.5,0,1,1,0.054,-4.4,-1,-5.4,-0.8,"fostegr01"
"5076","1996-1997","Rick Fox","SF",27,"BOS",76,2650,16.5,0.551,0.293,0.277,4.6,13.2,8.6,17.8,3.2,1.1,14.3,20.1,3.3,1.9,5.2,0.094,1,0.7,1.7,2.5,"foxri01"
"5077","1996-1997","Todd Fuller","C",22,"GSW",75,949,10.4,0.483,0,0.414,13.5,17.7,15.6,4,0.6,1.6,14.2,17.2,0.4,0.3,0.7,0.034,-3.4,-2.4,-5.8,-0.9,"fulleto02"
"5078","1996-1997","Kevin Gamble","SF",31,"SAC",62,953,11.6,0.529,0.392,0.035,1.6,11.6,6.5,12.9,1.2,1.3,8.5,14.9,1.1,0.6,1.6,0.082,-0.2,-0.1,-0.3,0.4,"gamblke01"
"5079","1996-1997","Kevin Garnett*","SF",20,"MIN",77,2995,18.2,0.537,0.019,0.247,7.6,16.8,12.2,14.1,1.9,4.1,12.5,21.3,3.4,3.9,7.3,0.116,1.1,1.1,2.2,3.2,"garneke01"
"5080","1996-1997","Dean Garrett","C",30,"MIN",68,1665,17.7,0.603,0,0.355,10.7,24.4,17.6,3.8,1.3,4.3,7,13.3,3.7,2.5,6.2,0.179,0.4,0.6,1,1.3,"garrede01"
"5081","1996-1997","Chris Gatling","PF",29,"TOT",47,1283,23.9,0.58,0.01,0.528,11.9,21.7,16.7,4.7,1.6,1.9,13.5,31.7,2.4,1.5,3.9,0.145,2.5,-1.6,0.8,0.9,"gatlich01"
"5082","1996-1997","Chris Gatling","PF",29,"DAL",44,1191,24.4,0.585,0.01,0.54,12.1,22,17,4.7,1.6,2.1,13.7,32.1,2.2,1.4,3.7,0.147,2.7,-1.7,1,0.9,"gatlich01"
"5083","1996-1997","Chris Gatling","PF",29,"NJN",3,92,16.9,0.51,0,0.372,8.9,17.5,12.9,5.8,2.3,0,10.7,26,0.1,0.1,0.2,0.108,-0.6,-1,-1.6,0,"gatlich01"
"5084","1996-1997","Reggie Geary","PG",23,"CLE",39,246,8.7,0.454,0.362,0.19,2.1,5.9,4,24.7,3.1,0.7,19.3,15.8,-0.1,0.4,0.3,0.056,-3.8,2.4,-1.4,0,"gearyre01"
"5085","1996-1997","Matt Geiger","C",27,"CHH",49,1044,14.3,0.538,0.057,0.363,12,17.8,15,6.2,1,1.9,14.2,21.3,1,0.9,1.9,0.085,-1.9,-1.3,-3.2,-0.3,"geigema01"
"5086","1996-1997","Kendall Gill","SF",28,"NJN",82,3199,19.6,0.53,0.151,0.369,5.8,11.4,8.4,18.3,2.5,1.1,11.4,25.4,6.6,2.2,8.8,0.132,2.8,0.1,2.9,4,"gillke01"
"5087","1996-1997","Armen Gilliam","PF",32,"MIL",80,2050,13.6,0.543,0,0.496,8.2,21.5,14.8,4.1,1.6,1.5,14.2,16.8,1.9,2.2,4.1,0.097,-1.5,-0.2,-1.7,0.2,"gilliar01"
"5088","1996-1997","Anthony Goldwire","PG",25,"TOT",60,1188,12.1,0.531,0.464,0.236,1.2,7,4.1,29.1,1.5,0.1,17.3,17,1.4,0.3,1.7,0.067,-0.4,-1.4,-1.8,0.1,"goldwan01"
"5089","1996-1997","Anthony Goldwire","PG",25,"CHH",33,576,11.6,0.554,0.532,0.26,0.7,7.1,4,25.2,1.8,0.1,19.3,17.4,0.6,0.2,0.8,0.068,-0.4,-0.8,-1.1,0.1,"goldwan01"
"5090","1996-1997","Anthony Goldwire","PG",25,"DEN",27,612,12.6,0.511,0.403,0.216,1.7,6.8,4.3,32.8,1.2,0.1,15.4,16.6,0.8,0,0.8,0.066,-0.4,-2.1,-2.5,-0.1,"goldwan01"
"5091","1996-1997","Greg Graham","SG",26,"SEA",28,197,12.6,0.476,0.388,0.5,1.2,6.7,4,9.2,3.2,0.4,9.3,25,0,0.3,0.3,0.065,-3.5,-1.1,-4.6,-0.1,"grahagr01"
"5092","1996-1997","Brian Grant","PF",24,"SAC",24,607,14.5,0.511,0,0.435,9.3,18.1,13.6,7.6,1.7,3.1,15.1,21.5,0.3,0.7,1,0.075,-2.2,-0.4,-2.6,-0.1,"grantbr01"
"5093","1996-1997","Gary Grant","PG",31,"MIA",28,365,9.1,0.46,0.418,0.2,2.6,9.6,6.2,20.4,2.4,0,18.4,18.9,-0.2,0.6,0.4,0.052,-3.3,1.2,-2.1,0,"grantga01"
"5094","1996-1997","Harvey Grant","PF",31,"WSB",78,1604,8.8,0.477,0.283,0.124,4.7,13.9,9.3,5.8,1.5,2.2,8.3,10.1,0.8,1.9,2.7,0.081,-2.3,1.4,-0.9,0.4,"grantha01"
"5095","1996-1997","Horace Grant","PF",31,"ORL",67,2496,17.3,0.546,0.009,0.258,9.4,19,14.1,11.4,2.2,2,11.3,16.1,4.1,3.6,7.7,0.148,1.1,1.3,2.4,2.8,"grantho01"
"5096","1996-1997","Devin Gray","PF",24,"TOT",6,49,4.6,0.319,0,0.192,14.2,19.5,16.8,6.4,4.4,0,15.1,31.1,-0.3,0.1,-0.2,-0.179,-12,-3.2,-15.2,-0.2,"grayde01"
"5097","1996-1997","Devin Gray","PF",24,"SAC",3,25,15.8,0.313,0,0.364,13.8,28.3,21,12.6,6.3,0,0,22.9,0,0.1,0,0.07,-4.3,0.4,-3.9,0,"grayde01"
"5098","1996-1997","Devin Gray","PF",24,"SAS",3,24,-7.1,0.324,0,0.067,14.5,10.4,12.5,0,2.3,0,24.5,39.6,-0.2,0,-0.2,-0.439,-19.9,-7,-26.9,-0.2,"grayde01"
"5099","1996-1997","Evric Gray","SF",27,"NJN",5,42,2.8,0.388,0.267,0.267,2.4,5.5,3.9,7.2,1.2,0,15.2,20.1,-0.1,0,-0.1,-0.08,-6.3,-2.9,-9.2,-0.1,"grayev01"
"5100","1996-1997","Jeff Grayer","SG",31,"SAC",25,316,10,0.496,0.133,0.241,7.7,6.3,7,12.5,1.3,1.7,14,15.2,0.2,0.1,0.3,0.049,-2.4,-0.7,-3.1,-0.1,"grayeje01"
"5101","1996-1997","A.C. Green","PF",33,"TOT",83,2492,12.4,0.523,0.041,0.407,10.2,20.5,15.3,4.4,1.5,0.5,11.5,11.8,2.4,2.4,4.8,0.093,-1,-0.4,-1.4,0.4,"greenac01"
"5102","1996-1997","A.C. Green","PF",33,"PHO",27,548,11.6,0.513,0.023,0.375,7.1,22.2,14.7,4.6,1.7,0.1,11.8,13.9,0.3,0.5,0.8,0.073,-1.8,0.1,-1.6,0,"greenac01"
"5103","1996-1997","A.C. Green","PF",33,"DAL",56,1944,12.6,0.527,0.048,0.419,11.1,20,15.5,4.3,1.4,0.6,11.4,11.2,2.2,1.8,4,0.099,-0.7,-0.5,-1.3,0.4,"greenac01"
"5104","1996-1997","Litterial Green","PG",26,"DET",45,311,13.5,0.531,0.156,0.734,2.5,6.3,4.4,21.4,2.9,0.3,15,15.9,0.4,0.4,0.8,0.119,-1.9,1.5,-0.4,0.1,"greenli01"
"5105","1996-1997","Tom Gugliotta","PF",27,"MIN",81,3131,19,0.526,0.069,0.423,7.1,19.3,13.3,19.3,2.2,2.1,15.6,27.5,2.6,4.2,6.7,0.103,1.2,0.5,1.7,2.9,"guglito01"
"5106","1996-1997","Jack Haley","C",33,"NJN",20,74,19.6,0.441,0,0.514,17.9,29.5,23.4,11.6,0.7,1,4.2,27.3,0.2,0.1,0.2,0.149,-0.2,-3.3,-3.4,0,"haleyja01"
"5107","1996-1997","Darvin Ham","SF",23,"TOT",36,318,8.5,0.536,0,0.565,10.5,9.6,10,6.9,1.5,1.7,22.1,14,0,0.1,0.1,0.018,-4.3,-0.2,-4.5,-0.2,"hamda01"
"5108","1996-1997","Darvin Ham","SF",23,"DEN",35,313,8.2,0.53,0,0.541,10.7,9.7,10.2,7.1,1.3,1.7,21.8,13.8,0,0.1,0.1,0.018,-4.4,-0.3,-4.7,-0.2,"hamda01"
"5109","1996-1997","Darvin Ham","SF",23,"IND",1,5,22.5,0.798,0,2,0,0,0,0,10.8,0,34.7,26.6,0,0,0,0.059,0.8,8.1,8.9,0,"hamda01"
"5110","1996-1997","Steve Hamer","C",23,"BOS",35,268,8.9,0.545,0.035,0.509,6.8,20,12.9,4,0.4,1.1,15.7,13.3,0.1,0.1,0.2,0.031,-4.3,-2.2,-6.5,-0.3,"hamerst01"
"5111","1996-1997","Tom Hammonds","PF",29,"DEN",81,1758,10.1,0.534,0.005,0.432,8.9,17,13,5.8,0.5,0.9,15.7,14.3,1.1,0.6,1.7,0.046,-3.2,-1.6,-4.8,-1.2,"hammoto01"
"5112","1996-1997","Darrin Hancock","SF",25,"TOT",24,133,11.9,0.51,0,0.4,3.7,12.4,8.1,15,3.7,0.6,21.1,18.4,0,0.2,0.2,0.062,-4.4,1.2,-3.2,0,"hancoda01"
"5113","1996-1997","Darrin Hancock","SF",25,"MIL",9,39,1.1,0.333,0,0,3.2,12.5,7.8,14.6,2.7,0,40,11.9,-0.1,0,-0.1,-0.093,-8.4,0.9,-7.5,-0.1,"hancoda01"
"5114","1996-1997","Darrin Hancock","SF",25,"ATL",14,86,16.2,0.527,0,0.444,4.3,13.6,9,14.6,4.5,0.9,17.8,21.5,0,0.2,0.2,0.113,-2.8,1.5,-1.2,0,"hancoda01"
"5115","1996-1997","Darrin Hancock","SF",25,"SAS",1,8,18.3,0.694,0,1,0,0,0,21.1,0,0,0,16.7,0.1,0,0,0.274,-2.2,-1.5,-3.7,0,"hancoda01"
"5116","1996-1997","Anfernee Hardaway","PG",25,"ORL",59,2221,21.4,0.554,0.284,0.367,4.2,9.8,6.9,28.5,2.3,1.2,11.7,25.7,5.8,2.2,8.1,0.175,4.5,0.4,4.9,3.9,"hardaan01"
"5117","1996-1997","Tim Hardaway*","PG",30,"MIA",81,3136,20.8,0.532,0.426,0.263,1.9,8.5,5.2,41.9,2.6,0.2,13,26.6,7.9,5,12.9,0.198,5.2,1,6.2,6.5,"hardati01"
"5118","1996-1997","Derek Harper","PG",35,"DAL",75,2210,12.9,0.516,0.261,0.19,1.6,5.7,3.6,25.3,2.2,0.4,15.3,17.9,1.5,1.2,2.7,0.058,-0.9,-0.5,-1.4,0.3,"harpede01"
"5119","1996-1997","Ron Harper","PG",33,"CHI",76,1740,13.6,0.543,0.463,0.202,3,9.4,6.3,15.1,2.6,1.6,10.2,12.6,3,2.7,5.7,0.157,0.3,2.4,2.7,2.1,"harpero01"
"5120","1996-1997","Othella Harrington","PF",23,"HOU",57,860,10.8,0.57,0.015,0.397,10.6,15.8,13.3,3.3,0.7,1.9,19.2,15.7,0.4,1,1.4,0.079,-3.8,-0.9,-4.7,-0.6,"harriot01"
"5121","1996-1997","Lucious Harris","SG",26,"PHI",54,813,10.7,0.466,0.337,0.16,3.5,6,4.8,9.9,2.5,0.3,9.8,18.1,0.2,0.2,0.4,0.023,-2,-0.4,-2.5,-0.1,"harrilu01"
"5122","1996-1997","Antonio Harvey","PF",26,"SEA",6,26,23.2,0.55,0,0.545,9.3,37,23.2,6.8,0,13.2,6.8,25.7,0.1,0.1,0.1,0.27,-3,2.9,-0.1,0,"harvean01"
"5123","1996-1997","Hersey Hawkins","SG",30,"SEA",82,2755,17.6,0.616,0.447,0.371,4,10,7,14.6,3.1,0.4,12.3,17.5,7,3.9,10.9,0.19,2.8,1.4,4.2,4.4,"hawkihe01"
"5124","1996-1997","Michael Hawkins","PG",24,"BOS",29,326,10.6,0.536,0.456,0.221,3,8.4,5.5,28.8,2.5,0.2,27.3,13.5,0.1,0.1,0.2,0.033,-2.9,-1,-3.9,-0.2,"hawkimi01"
"5125","1996-1997","Shane Heal","PG",26,"MIN",43,236,5,0.378,0.67,0.052,1,8,4.5,22.1,0.7,1,14.6,22.5,-0.5,0.1,-0.4,-0.086,-4,-2.8,-6.8,-0.3,"healsh01"
"5126","1996-1997","Alan Henderson","PF",24,"ATL",30,501,15,0.51,0,0.463,11.4,16.1,13.8,8.3,2.3,0.9,12.9,21.1,0.5,0.9,1.3,0.126,-2.3,0,-2.4,0,"hendeal01"
"5127","1996-1997","Mark Hendrickson","PF",22,"PHI",29,301,11.5,0.481,0.156,0.338,12.4,21.2,16.7,1.5,1.7,1,13.7,14.4,0.1,0.2,0.3,0.054,-2.9,-2.2,-5.1,-0.2,"hendrma01"
"5128","1996-1997","Carl Herrera","PF",30,"SAS",75,1837,10.6,0.463,0.01,0.199,7.4,15,11.1,4.7,1.9,2.3,12.8,18.7,-0.8,0.9,0.1,0.002,-4,-1,-5,-1.4,"herreca01"
"5129","1996-1997","Grant Hill*","SF",24,"DET",80,3147,25.5,0.556,0.026,0.503,5,23.1,14.2,36,2.6,1.3,14.4,28.3,8.7,5.9,14.6,0.223,5.4,2.7,8.2,8,"hillgr01"
"5130","1996-1997","Tyrone Hill","C",28,"CLE",74,2582,17.8,0.626,0.002,0.64,12.9,24.4,18.6,6.6,1.4,1,16.2,17.6,5.3,4.6,9.9,0.184,0.6,0.1,0.7,1.8,"hillty01"
"5131","1996-1997","Fred Hoiberg","SG",24,"IND",47,572,15.9,0.59,0.449,0.494,2.8,14,8.4,12,2.5,0.9,10.4,17.1,1.3,0.8,2.1,0.175,1.5,2.2,3.7,0.8,"hoibefr01"
"5132","1996-1997","Jeff Hornacek","SG",33,"UTA",82,2592,18.8,0.596,0.228,0.381,3.1,8.2,5.8,22.1,2.6,0.8,11.8,20.3,7.2,3,10.2,0.19,3,1,4,3.9,"hornaje01"
"5133","1996-1997","Robert Horry","SF",26,"TOT",54,1395,13,0.529,0.428,0.25,5.7,13.9,9.8,11.9,2.5,3,15.3,15.2,1,1.9,2.9,0.098,-0.7,2,1.3,1.2,"horryro01"
"5134","1996-1997","Robert Horry","SF",26,"PHO",32,719,11.1,0.507,0.4,0.256,6.5,12.7,9.7,11.1,2,2.7,17.5,16.5,0,0.7,0.7,0.046,-1.4,1.1,-0.3,0.3,"horryro01"
"5135","1996-1997","Robert Horry","SF",26,"LAL",22,676,15,0.556,0.461,0.242,4.8,15.1,10,12.8,3,3.3,12.5,13.8,1,1.2,2.2,0.153,0.1,2.9,3,0.9,"horryro01"
"5136","1996-1997","Allan Houston","SG",25,"NYK",81,2681,11.3,0.531,0.372,0.211,2,8.5,5.4,11.9,0.8,0.5,12.9,22.2,1.5,3.2,4.7,0.084,-0.6,-0.5,-1.1,0.6,"houstal01"
"5137","1996-1997","Juwan Howard","SF",23,"WSB",82,3324,16.1,0.529,0.002,0.296,7.2,15.6,11.5,15.2,1.5,0.5,14.2,23.4,3.3,3.7,7,0.101,0.1,-0.5,-0.3,1.4,"howarju01"
"5138","1996-1997","Stephen Howard","SF",26,"TOT",49,418,16,0.613,0,0.75,9,15.9,12.6,4.2,2.5,2.4,14.8,18.7,0.7,0.6,1.3,0.149,-1.4,0.6,-0.8,0.1,"howarst01"
"5139","1996-1997","Stephen Howard","SF",26,"SAS",7,69,19.5,0.716,0,1.167,6.7,9,7.8,2.4,6.4,2.3,21.6,15.6,0.2,0.1,0.2,0.172,0.3,5.5,5.8,0.1,"howarst01"
"5140","1996-1997","Stephen Howard","SF",26,"UTA",42,349,15.4,0.598,0,0.698,9.5,17.2,13.6,4.5,1.7,2.4,13.7,19.4,0.5,0.5,1.1,0.144,-1.8,-0.3,-2.1,0,"howarst01"
"5141","1996-1997","Lindsey Hunter","PG",26,"DET",82,3023,13.4,0.515,0.449,0.195,2.5,7,4.8,8.9,2.4,0.7,7.8,20.1,3,3.4,6.4,0.101,0,0.5,0.5,1.9,"hunteli01"
"5142","1996-1997","Bobby Hurley","PG",25,"SAC",49,632,10.4,0.482,0.36,0.424,1.6,5.4,3.5,33.8,2.3,0.4,27.1,14.4,0.1,0.3,0.4,0.031,-2.1,-1.1,-3.2,-0.2,"hurlebo01"
"5143","1996-1997","Allen Iverson*","PG",21,"PHI",76,3045,18,0.513,0.303,0.362,4,7.2,5.6,33.6,2.6,0.6,16.2,28.9,3.1,1,4.1,0.065,2.5,-1.6,0.9,2.2,"iversal01"
"5144","1996-1997","Jaren Jackson","SG",29,"WSB",75,1133,10.1,0.52,0.48,0.21,3.2,10.3,6.8,8.3,2.1,1.1,14.3,16.6,0.3,1.3,1.6,0.067,-2.1,0.7,-1.4,0.1,"jacksja01"
"5145","1996-1997","Jim Jackson","SG-SF",26,"TOT",77,2831,15.1,0.526,0.24,0.301,5.1,11.5,8.2,19.4,1.6,0.9,15.1,21.6,2.8,1.6,4.4,0.075,0.7,-0.9,-0.1,1.3,"jacksji01"
"5146","1996-1997","Jim Jackson","SG",26,"DAL",46,1676,15.2,0.532,0.236,0.32,5.5,10.3,7.9,16.8,1.8,0.7,13.8,21.3,1.8,1.1,2.8,0.081,0.7,-0.8,-0.1,0.8,"jacksji01"
"5147","1996-1997","Jim Jackson","SF",26,"NJN",31,1155,15,0.518,0.245,0.277,4.5,13.2,8.6,23.2,1.3,1.1,17,22,1.1,0.5,1.6,0.066,0.8,-1,-0.2,0.5,"jacksji01"
"5148","1996-1997","Mark Jackson","PG",31,"TOT",82,3054,15.7,0.525,0.262,0.314,3.5,11.4,7.5,48.2,1.7,0.3,26.2,15.5,4.4,1.8,6.1,0.097,2,-0.9,1.1,2.4,"jacksma01"
"5149","1996-1997","Mark Jackson","PG",31,"DEN",52,2001,16.2,0.528,0.268,0.301,4.1,11.3,7.7,50,1.3,0.3,25.2,15.3,3.6,0.5,4,0.097,2.2,-1.4,0.7,1.4,"jacksma01"
"5150","1996-1997","Mark Jackson","PG",31,"IND",30,1053,14.8,0.519,0.251,0.339,2.3,11.6,7,44.8,2.4,0.2,28.1,15.9,0.8,1.3,2.1,0.096,1.7,0.1,1.8,1,"jacksma01"
"5151","1996-1997","Henry James","PF",31,"ATL",53,945,10.2,0.553,0.592,0.118,3.5,6.7,5.1,3.8,0.6,0.1,8.3,17.5,1.3,0.7,2,0.103,-0.4,-1.7,-2.1,-0.1,"jameshe01"
"5152","1996-1997","Chris Jent","SF",27,"NYK",3,10,16,0.5,0.5,0,12.4,0,6,19,0,0,0,27.6,0,0,0,0.194,3.8,-4.1,-0.2,0,"jentch01"
"5153","1996-1997","Avery Johnson","PG",31,"SAS",76,2472,15,0.517,0.038,0.296,1.5,5.8,3.6,35.5,2.1,0.5,15.9,17.3,3.4,0,3.4,0.066,0.2,-1.3,-1.1,0.6,"johnsav01"
"5154","1996-1997","Eddie Johnson","SF",37,"TOT",52,913,13.4,0.541,0.362,0.188,3.6,13.7,8.8,10,0.9,0.2,10.7,22,0.9,0.9,1.8,0.093,-0.5,-1.3,-1.8,0,"johnsed03"
"5155","1996-1997","Eddie Johnson","SF",37,"IND",28,306,11.7,0.497,0.206,0.199,1.2,14.2,7.8,10.6,0.9,0.3,10.3,24.9,0,0.3,0.3,0.048,-2.4,-1,-3.4,-0.1,"johnsed03"
"5156","1996-1997","Eddie Johnson","SF",37,"HOU",24,607,14.2,0.568,0.456,0.181,4.8,13.5,9.4,9.6,0.9,0.1,10.9,20.5,0.9,0.6,1.5,0.115,0.4,-1.4,-1,0.2,"johnsed03"
"5157","1996-1997","Ervin Johnson","C",29,"DEN",82,2599,14.3,0.543,0.004,0.334,10.3,29.6,20,4.3,1.3,6,18.1,11.2,1.4,3.8,5.2,0.096,-2.2,1.8,-0.4,1.1,"johnser02"
