season,team,lg,salary,player_id,normalized salary,salary_cap,2022 salary
2016,SAS,NBA,19500000,aldrila01,0.2785714285714286,70000000,85323721.0
2017,SAS,NBA,20575005,aldrila01,0.21855055606895893,94143000,112368348.0
2018,SAS,NBA,21461010,aldrila01,0.21657443008083316,99093000,115455294.0
2019,SAS,NBA,22347015,aldrila01,0.21937012241211754,101869000,116573245.0
2020,SAS,NBA,26000000,aldrila01,0.23822613157412498,109140000,123384194.0
2021,SAS,NBA,16750000,aldrila01,0.15347260399486898,109140000,117838496.0
2021,BKN,NBA,554988,aldrila01,0.005085101704233095,109140000,117838496.0
2022,BKN,NBA,2641691,aldrila01,0.023499661963812337,112414000,112414000.0
2016,POR,NBA,525093,alexacl01,0.007501328571428572,70000000,85323721.0
2017,BKN,NBA,51449,alexacl01,0.0005464984119902701,94143000,112368348.0
1996,SAS,NBA,490000,alexaco01,0.021304347826086957,23000000,42906004.0
1997,SAS,NBA,521000,alexaco01,0.021384886918688176,24363000,44402880.0
1998,SAS,NBA,562380,alexaco01,0.02090631970260223,26900000,48285994.0
2000,DEN,NBA,1980000,alexaco01,0.05823529411764706,34000000,57763864.0
2001,DEN,NBA,2160000,alexaco01,0.06084507042253521,35500000,58657395.0
2002,DEN,NBA,1995741,alexaco01,0.04695861176470588,42500000,69132284.0
2003,DEN,NBA,2149259,alexaco01,0.053369893968364335,40271000,64048956.0
2004,DEN,NBA,2302778,alexaco01,0.0525268704379562,43840000,67907202.0
2001,DAL,NBA,1319400,alexaco02,0.03716619718309859,35500000,58657395.0
2002,WAS,NBA,1418400,alexaco02,0.033374117647058825,42500000,69132284.0
2003,NOP,NBA,1517280,alexaco02,0.037676740085917905,40271000,64048956.0
2004,NOP,NBA,2168193,alexaco02,0.04945695711678832,43840000,67907202.0
2005,SAC,NBA,79029,alexaco02,0.0018014360610895828,43870000,65719039.0
1995,CLE,NBA,150000,alexaga01,0.009396141317965422,15964000,30651995.0
2009,MIL,NBA,2403120,alexajo01,0.040952965235173826,58680000,80023973.0
2010,CHI,NBA,2583360,alexajo01,0.044772270363951476,57700000,77414680.0
2011,NOP,NBA,90465,alexajo01,0.0015585590241885467,58044000,75491545.0
2020,MIA,NBA,0,alexaky01,0.0,109140000,123384194.0
2020,NOP,NBA,2964840,alexani01,0.027165475536008794,109140000,123384194.0
2021,NOP,NBA,3113160,alexani01,0.02852446399120396,109140000,117838496.0
2022,UTA,NBA,3261480,alexani01,0.029013112245805682,112414000,112414000.0
2021,PHX,NBA,0,alexaty01,0.0,109140000,117838496.0
1992,GSW,NBA,750000,alexavi01,0.06,12500000,26061180.0
1993,GSW,NBA,942000,alexavi01,0.06728571428571428,14000000,28354756.0
1994,GSW,NBA,1160000,alexavi01,0.07644151565074135,15175000,29954782.0
1995,GSW,NBA,1377500,alexavi01,0.08628789776998246,15964000,30651995.0
1996,TOR,NBA,1595000,alexavi01,0.06934782608695653,23000000,42906004.0
2002,DET,NBA,653350,alexavi01,0.015372941176470587,42500000,69132284.0
1988,DAL,NBA,100000,alforst01,0.016223231667748216,6164000,15248702.0
1989,GSW,NBA,150000,alforst01,0.020741150442477877,7232000,17069461.0
1991,DAL,NBA,250000,alforst01,0.02105972538118103,11871000,25499592.0
2019,CHI,NBA,0,alkinra01,0.0,101869000,116573245.0
2019,UTA,NBA,2074320,allengr01,0.02036262258390678,101869000,116573245.0
2020,MEM,NBA,2277563,allengr01,0.020868270111783032,109140000,123384194.0
2021,MEM,NBA,2545320,allengr01,0.023321605277625067,109140000,117838496.0
2022,MIL,NBA,4054695,allengr01,0.03606930631416016,112414000,112414000.0
2018,BKN,NBA,1713720,allenja01,0.017294057097877753,99093000,115455294.0
2019,BKN,NBA,2034120,allenja01,0.01996799811522642,101869000,116573245.0
2020,BKN,NBA,2376840,allenja01,0.02177789994502474,109140000,123384194.0
2021,CLE,NBA,3909902,allenja01,0.0358246472420744,109140000,117838496.0
2022,CLE,NBA,20000000,allenja01,0.17791378298076752,112414000,112414000.0
1996,MIN,NBA,200000,allenje01,0.008695652173913044,23000000,42906004.0
1997,IND,NBA,247500,allenje01,0.010158847432582194,24363000,44402880.0
1998,CLE,NBA,35000,allenje01,0.0013011152416356876,26900000,48285994.0
2000,MIL,NBA,510000,allenje01,0.015,34000000,57763864.0
2018,BOS,NBA,0,allenka01,0.0,99093000,115455294.0
2019,NYK,NBA,0,allenka01,0.0,101869000,116573245.0
2012,PHI,NBA,473604,allenla01,0.00815939632003308,58044000,73970553.0
2013,PHI,NBA,3000000,allenla01,0.05168492867479843,58044000,72903264.0
2014,PHI,NBA,3060000,allenla01,0.05214812795037407,58679000,72519787.0
2015,IND,NBA,948163,allenla01,0.015034694362958852,63065000,77841847.0
2016,IND,NBA,3700000,allenla01,0.05285714285714286,70000000,85323721.0
2017,IND,NBA,4000000,allenla01,0.04248855464559234,94143000,112368348.0
2002,MIA,NBA,332817,allenma01,0.007830988235294118,42500000,69132284.0
2003,MIA,NBA,512435,allenma01,0.012724665391969408,40271000,64048956.0
2004,MIA,NBA,1510000,allenma01,0.03444343065693431,43840000,67907202.0
2005,MIA,NBA,1950625,allenma01,0.04446375655345339,43870000,65719039.0
2006,CHI,NBA,1670000,allenma01,0.03373737373737374,49500000,71839551.0
2007,CHI,NBA,1803600,allenma01,0.03394372823939023,53135000,74973988.0
2008,DAL,NBA,998398,allenma01,0.017947114866079455,55630000,75594893.0
2009,MIL,NBA,1300000,allenma01,0.022154055896387186,58680000,80023973.0
2010,DEN,NBA,1300000,allenma01,0.022530329289428077,57700000,77414680.0
2011,ORL,NBA,1229255,allenma01,0.021177985666046447,58044000,75491545.0
1997,MIL,NBA,1785000,allenra02,0.07326683905922916,24363000,44402880.0
1998,MIL,NBA,2052360,allenra02,0.07629591078066915,26900000,48285994.0
1999,MIL,NBA,2320000,allenra02,0.07733333333333334,30000000,52688773.0
2000,MIL,NBA,9000000,allenra02,0.2647058823529412,34000000,57763864.0
2001,MIL,NBA,10130000,allenra02,0.2853521126760563,35500000,58657395.0
2002,MIL,NBA,11250000,allenra02,0.2647058823529412,42500000,69132284.0
2003,MIL,NBA,12375000,allenra02,0.30729308931985794,40271000,64048956.0
2004,OKC,NBA,13500000,allenra02,0.3079379562043796,43840000,67907202.0
2005,OKC,NBA,14625000,allenra02,0.33337132436744926,43870000,65719039.0
2006,OKC,NBA,13223140,allenra02,0.26713414141414143,49500000,71839551.0
2007,OKC,NBA,14611570,allenra02,0.2749895549073116,53135000,74973988.0
2008,BOS,NBA,16000000,allenra02,0.28761459644076937,55630000,75594893.0
2009,BOS,NBA,18388430,allenra02,0.3133679277436946,58680000,80023973.0
2010,BOS,NBA,18776860,allenra02,0.3254221837088388,57700000,77414680.0
2011,BOS,NBA,10000000,allenra02,0.17228309558266142,58044000,75491545.0
2012,BOS,NBA,10000000,allenra02,0.17228309558266142,58044000,73970553.0
2013,MIA,NBA,3090000,allenra02,0.05323547653504238,58044000,72903264.0
2014,MIA,NBA,3229050,allenra02,0.055029056391554046,58679000,72519787.0
2005,BOS,NBA,901920,allento01,0.020558924093913838,43870000,65719039.0
2006,BOS,NBA,969696,allento01,0.01958981818181818,49500000,71839551.0
2007,BOS,NBA,1037280,allento01,0.019521595934882844,53135000,74973988.0
2008,BOS,NBA,1868141,allento01,0.03358153873809096,55630000,75594893.0
2009,BOS,NBA,2500000,allento01,0.04260395364689843,58680000,80023973.0
2010,BOS,NBA,2500000,allento01,0.043327556325823226,57700000,77414680.0
2011,MEM,NBA,3000000,allento01,0.05168492867479843,58044000,75491545.0
2012,MEM,NBA,3150000,allento01,0.05426917510853835,58044000,73970553.0
2013,MEM,NBA,3300000,allento01,0.05685342154227827,58044000,72903264.0
2014,MEM,NBA,4494382,allento01,0.07659268222021506,58679000,72519787.0
2015,MEM,NBA,4831461,allento01,0.07661081423927693,63065000,77841847.0
2016,MEM,NBA,5168539,allento01,0.07383627142857142,70000000,85323721.0
2017,MEM,NBA,5505618,allento01,0.058481437812689205,94143000,112368348.0
2018,CHI,NBA,1471382,allento01,0.014848495857426862,99093000,115455294.0
2008,UTA,NBA,1005960,almonmo01,0.018083048714722272,55630000,75594893.0
2009,UTA,NBA,1081440,almonmo01,0.018429447852760735,58680000,80023973.0
1995,PHI,NBA,150000,alstode01,0.009396141317965422,15964000,30651995.0
1996,PHI,NBA,350000,alstode01,0.015217391304347827,23000000,42906004.0
2000,MIL,NBA,301875,alstora01,0.008878676470588235,34000000,57763864.0
2001,MIL,NBA,423500,alstora01,0.011929577464788732,35500000,58657395.0
2002,MIL,NBA,625000,alstora01,0.014705882352941176,42500000,69132284.0
2003,TOR,NBA,37344,alstora01,0.0009273174244493556,40271000,64048956.0
2004,MIA,NBA,688679,alstora01,0.015708918795620436,43840000,67907202.0
2005,TOR,NBA,3500000,alstora01,0.07978117164349213,43870000,65719039.0
2006,HOU,NBA,3850000,alstora01,0.07777777777777778,49500000,71839551.0
2007,HOU,NBA,4200000,alstora01,0.07904394466923872,53135000,74973988.0
2008,HOU,NBA,4550000,alstora01,0.0817904008628438,55630000,75594893.0
2009,ORL,NBA,4900000,alstora01,0.08350374914792093,58680000,80023973.0
2010,BKN,NBA,4300000,alstora01,0.07452339688041594,57700000,77414680.0
2010,MIA,NBA,753133,alstora01,0.01305256499133449,57700000,77414680.0
