season,team,Pre-Season,Post-Reg_Season,Mean,Median,Min,Max,winner
1966,SFW,1387.3784,1465.5282,1444.46473875,1441.6316,1380.4182,1441.6316,BOS
1966,STL,1537.4492,1499.5443,1501.170455,1497.48775,1452.4037,1497.48775,BOS
1966,LAL,1536.4131,1555.6586,1545.821305,1547.1127,1518.5999,1547.1127,BOS
1966,BOS,1629.6334,1594.1318,1612.32375875,1622.89545,1543.0535,1622.89545,BOS
1966,NYK,1463.4779,1424.1348,1435.2997412500001,1432.5645,1391.5758,1432.5645,BOS
1966,BAL,1488.8088,1467.8643,1460.3495887499998,1460.0751500000001,1430.1443,1460.0751500000001,BOS
1966,PHI,1517.3143,1667.6249,1592.49267125,1591.6549,1535.3865,1591.6549,BOS
1966,DET,1427.8113,1317.9065,1363.35174,1364.17435,1306.141,1364.17435,BOS
1967,BAL,1462.4913,1326.4938,1336.6025864197532,1334.2806,1262.8835,1334.2806,PHI
1967,BOS,1611.9647,1663.7166,1654.7182567901234,1656.6548,1615.0787,1656.6548,PHI
1967,PHI,1588.8818,1712.8042,1694.0955382716052,1697.2323,1593.5054,1697.2323,PHI
1967,STL,1513.9475,1506.7308,1483.2689419753087,1485.4177,1433.9729,1485.4177,PHI
1967,LAL,1546.2091,1469.6373,1486.4098185185187,1482.0253,1449.4391,1482.0253,PHI
1967,SFW,1475.3961,1495.8296,1539.6198814814813,1550.8394,1465.5607,1550.8394,PHI
1967,DET,1364.6799,1334.8575,1366.8304086419753,1366.6958,1334.2501,1366.6958,PHI
1967,NYK,1444.3511,1376.354,1440.8328407407407,1442.3766,1376.354,1442.3766,PHI
1967,CHI,1300.0,1391.4211,1348.690887654321,1351.041,1307.6497,1351.041,PHI
1967,CIN,1495.9122,1525.9889,1456.428012345679,1451.6603,1406.25,1451.6603,PHI
1968,SEA,1300.0,1329.0386,1320.2204524390243,1323.89995,1245.4946,1323.89995,PTP
1968,ANA,1300.0,1157.6787,1233.71345,1240.796,1151.8086,1240.796,PTP
1968,SFW,1540.938,1363.9871,1504.220718292683,1522.2393,1363.9871,1522.2393,PTP
1968,OAK,1300.0,1085.7744,1216.8478794871796,1227.6084,1085.7744,1227.6084,PTP
1968,CHI,1407.7383,1333.9313,1354.7829890243904,1351.3207,1319.7395,1351.3207,PTP
1968,STL,1504.0029,1562.5267,1559.7694865853657,1557.7794,1506.6497,1557.7794,PTP
1968,KEN,1300.0,1352.9286,1266.697026923077,1255.1733,1195.6737,1255.1733,PTP
1968,BOS,1597.1725,1533.1008,1575.7243731707317,1566.7435500000001,1522.8579,1566.7435500000001,PTP
1968,SDR,1300.0,1174.2419,1280.982286585366,1273.8078500000001,1174.2419,1273.8078500000001,PTP
1968,INA,1300.0,1280.026,1310.8544230769232,1298.3166999999999,1245.8077,1298.3166999999999,PTP
1968,DNR,1300.0,1392.1217,1349.208235897436,1343.5423,1275.3124,1343.5423,PTP
1968,DLC,1300.0,1370.1028,1313.7208666666666,1316.5628000000002,1259.4767,1316.5628000000002,PTP
1968,LAL,1459.1296,1569.2158,1523.0766207317074,1513.30025,1458.1078,1513.30025,PTP
1968,CIN,1510.489,1492.4395,1448.4588926829267,1447.71105,1378.6356,1447.71105,PTP
1968,HSM,1300.0,1211.3674,1227.4175782051282,1225.43315,1165.4976,1225.43315,PTP
1968,DET,1377.3932,1447.5558,1406.2947548780487,1409.16685,1342.2551,1409.16685,PTP
1968,NYK,1421.4934,1525.9266,1449.2081487804878,1445.63605,1374.3137,1445.63605,PTP
1968,BAL,1371.1204,1455.4397,1395.013187804878,1386.5468,1326.9872,1386.5468,PTP
1968,PHI,1675.8981,1677.9718,1650.219104878049,1651.9556,1599.2523,1651.9556,PTP
1968,NOB,1300.0,1382.6324,1379.8135410256411,1377.2285000000002,1299.278,1377.2285000000002,PTP
1968,MNM,1300.0,1366.491,1368.645958974359,1372.63455,1277.5587,1372.63455,PTP
1968,PTP,1300.0,1412.2916,1362.1577064102564,1375.9631,1278.1389,1375.9631,PTP
1968,NJA,1300.0,1288.5856,1274.6321538461539,1278.4083500000002,1228.0592,1278.4083500000002,PTP
1969,NYK,1520.9222,1623.9653,1546.8746414634147,1562.8296500000001,1430.0858,1562.8296500000001,OAK
1969,CHI,1376.9613,1367.2258,1378.8566426829268,1382.52375,1339.5745,1382.52375,OAK
1969,MIL,1300.0,1321.4298,1292.9431390243903,1288.50485,1262.1766,1288.50485,OAK
1969,CIN,1495.5796,1416.5729,1458.1078292682928,1436.0586,1367.9889,1436.0586,OAK
1969,ATL,1521.127,1500.0347,1506.1024073170731,1507.3258500000002,1450.9545,1507.3258500000002,OAK
1969,BAL,1467.8298,1543.834,1551.4893012195123,1561.61805,1468.542,1561.61805,OAK
1969,DET,1451.4592,1372.7375,1393.6119170731708,1397.80555,1326.0577,1397.80555,OAK
1969,SDR,1256.9314,1393.4396,1362.1762353658537,1369.80645,1273.075,1369.80645,OAK
1969,SEA,1373.0289,1379.8698,1331.8056926829267,1331.125,1278.5997,1331.125,OAK
1969,OAK,1190.5808,1467.2966,1456.6817243589742,1475.4135,1211.8405,1475.4135,OAK
1969,INA,1319.3566,1443.1942,1364.1075628205128,1377.38015,1280.2284,1377.38015,OAK
1969,PHO,1300.0,1167.2869,1250.9890073170732,1244.4648499999998,1167.2869,1244.4648499999998,OAK
1969,PHI,1599.2356,1565.4191,1589.3851085365852,1589.99225,1554.8733,1589.99225,OAK
