POSITION,SEASON,GP,PPG,PER,MPG,RPG,APG,SPG,BPG,TPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,MIN,PTS,REB,AST,STL,BLK,TOV,PF
Power Forward,1987,4114.0,10.4,15.1,23.5,6.2,1.4,0.7,0.7,1.6,4.0,8.0,49.8,0.0,0.2,23.3,2.3,3.2,73.5,"96,501","42,620","25,424","5,886","2,784","3,006","6,571","11,507"
Center,1987,3894.0,9.0,14.1,22.3,5.8,1.2,0.5,1.1,1.4,3.5,7.1,49.3,0.0,0.0,12.0,2.0,2.8,72.6,"86,861","35,240","22,776","4,656","2,082","4,159","5,630","10,552"
Point Guard,1988,3763.0,9.4,15.3,23.8,2.3,5.2,1.2,0.1,1.8,3.6,7.8,46.5,0.3,0.8,32.1,1.9,2.3,80.8,"89,710","35,275","8,668","19,746","4,386",541,"6,766","7,074"
Shooting Guard,1988,3855.0,12.0,15.2,24.6,2.8,3.0,1.1,0.3,1.6,4.7,10.1,46.8,0.3,0.9,34.1,2.2,2.8,80.3,"94,739","46,393","10,634","11,690","4,077","1,003","6,124","8,101"
Small Forward,1988,3708.0,12.6,15.7,24.4,4.3,2.0,0.8,0.5,1.6,5.0,10.3,48.4,0.1,0.5,29.8,2.5,3.2,76.5,"90,463","46,573","15,894","7,388","3,006","1,845","6,053","8,749"
Power Forward,1988,3906.0,10.5,14.9,24.0,6.2,1.4,0.7,0.7,1.6,4.0,8.1,49.3,0.0,0.2,25.2,2.5,3.3,74.3,"93,889","40,921","24,106","5,375","2,604","2,711","6,178","10,853"
Center,1988,4007.0,8.7,13.9,21.5,5.6,1.1,0.5,1.0,1.5,3.4,6.8,49.6,0.0,0.0,20.0,1.9,2.7,72.2,"86,239","34,831","22,526","4,400","1,982","4,060","5,867","10,684"
Point Guard,1989,3980.0,9.7,15.4,24.4,2.6,5.5,1.3,0.1,2.0,3.7,8.1,46.0,0.3,1.0,31.5,1.9,2.4,81.1,"96,957","38,687","10,288","21,741","5,106",589,"7,893","7,701"
Shooting Guard,1989,4131.0,12.3,15.3,24.7,3.0,3.0,1.1,0.2,1.7,4.8,10.4,46.6,0.4,1.2,35.0,2.3,2.9,79.9,"102,193","50,995","12,571","12,266","4,419",982,"6,919","8,469"
Small Forward,1989,4158.0,13.1,15.5,25.3,4.4,2.0,0.9,0.5,1.8,5.2,10.9,47.8,0.2,0.6,30.6,2.5,3.2,77.7,"105,045","54,663","18,437","8,447","3,745","1,967","7,313","9,952"
Power Forward,1989,4333.0,9.9,14.8,23.1,5.7,1.3,0.7,0.7,1.5,3.8,7.7,49.5,0.1,0.3,28.4,2.3,3.0,74.4,"100,113","42,998","24,796","5,700","3,080","2,987","6,463","11,027"
Center,1989,4434.0,8.2,13.8,20.5,5.4,1.0,0.5,1.0,1.4,3.2,6.5,49.2,0.0,0.1,28.7,1.8,2.5,71.6,"90,842","36,454","23,939","4,277","2,269","4,424","6,083","11,355"
Point Guard,1990,4426.0,9.1,15.1,24.2,2.5,5.2,1.2,0.1,1.8,3.5,7.7,45.6,0.4,1.0,34.3,1.8,2.2,80.2,"106,910","40,484","11,054","23,220","5,133",537,"7,864","7,896"
Shooting Guard,1990,4486.0,12.2,15.4,24.5,3.0,2.7,1.0,0.2,1.6,4.7,10.2,46.6,0.4,1.2,35.3,2.3,2.9,79.7,"110,112","54,949","13,670","11,992","4,393","1,039","6,993","9,025"
Small Forward,1990,4195.0,12.3,15.4,25.3,4.4,2.1,0.9,0.4,1.6,4.8,10.0,48.1,0.2,0.7,30.0,2.4,3.1,77.1,"106,315","51,391","18,408","9,011","3,759","1,833","6,688","9,981"
Power Forward,1990,4864.0,10.4,14.9,22.9,5.4,1.3,0.7,0.6,1.4,4.0,8.1,49.2,0.1,0.2,26.6,2.3,3.1,74.1,"111,534","50,465","26,336","6,167","3,164","2,876","6,972","12,734"
Center,1990,4520.0,8.8,14.1,22.1,5.8,1.0,0.5,1.1,1.3,3.4,7.0,48.7,0.1,0.2,30.1,1.9,2.6,71.9,"99,889","39,593","26,050","4,633","2,432","4,922","6,040","11,842"
Point Guard,1991,4347.0,10.5,15.9,24.8,2.4,5.2,1.2,0.1,1.8,4.0,8.7,46.2,0.4,1.2,32.7,2.0,2.5,80.0,"107,826","45,534","10,596","22,804","5,136",625,"8,009","8,300"
Shooting Guard,1991,4536.0,12.0,15.3,24.4,2.9,2.7,1.0,0.3,1.6,4.6,10.0,46.3,0.4,1.3,33.1,2.3,2.9,80.7,"110,715","54,211","13,269","12,384","4,649","1,304","7,113","9,517"
Small Forward,1991,4354.0,12.0,15.0,25.1,4.3,2.0,0.9,0.5,1.6,4.7,10.0,47.3,0.2,0.7,31.1,2.3,3.0,77.9,"109,106","52,267","18,682","8,592","3,748","2,009","6,872","9,808"
Power Forward,1991,4929.0,9.7,14.9,22.7,5.6,1.4,0.6,0.6,1.4,3.8,7.7,48.9,0.1,0.3,29.3,2.1,2.8,72.8,"112,069","47,989","27,712","6,894","3,187","2,990","6,872","12,377"
Center,1991,4382.0,8.1,13.7,21.8,5.8,0.9,0.5,1.1,1.3,3.2,6.4,49.1,0.0,0.1,22.2,1.7,2.5,70.7,"95,544","35,369","25,517","4,108","2,294","4,696","5,683","11,302"
Point Guard,1992,4551.0,9.7,14.9,24.0,2.2,4.9,1.2,0.2,1.8,3.8,8.4,44.9,0.4,1.2,33.1,1.8,2.3,79.6,"109,175","44,184","10,228","22,218","5,309",737,"8,112","8,243"
Shooting Guard,1992,4342.0,12.2,15.1,25.0,3.0,2.7,1.0,0.3,1.6,4.7,10.2,46.4,0.4,1.3,34.5,2.3,2.8,79.5,"108,393","52,921","13,006","11,672","4,429","1,302","6,891","8,787"
Small Forward,1992,4384.0,11.5,14.8,24.3,4.0,1.9,0.8,0.5,1.4,4.6,9.7,47.0,0.3,1.0,33.2,2.0,2.6,76.6,"106,481","50,199","17,497","8,342","3,705","2,064","6,230","9,388"
Power Forward,1992,4538.0,10.6,15.7,25.0,6.6,1.5,0.7,0.6,1.4,4.1,8.3,49.4,0.1,0.3,28.6,2.2,3.0,74.0,"113,514","47,980","30,143","7,030","3,212","2,930","6,519","11,372"
Center,1992,4617.0,8.2,14.4,21.2,5.6,1.1,0.5,1.1,1.2,3.2,6.6,49.0,0.0,0.1,25.9,1.7,2.4,70.0,"97,747","37,871","25,806","4,930","2,476","5,183","5,691","11,437"
Point Guard,1993,4447.0,9.8,15.2,24.6,2.3,4.9,1.2,0.1,1.7,3.7,8.1,45.7,0.5,1.3,34.8,1.9,2.4,79.8,"109,318","43,579","10,341","21,889","5,138",639,"7,731","8,603"
Shooting Guard,1993,4272.0,12.1,15.0,25.1,2.9,2.7,1.0,0.3,1.6,4.6,10.1,46.1,0.6,1.7,34.9,2.2,2.8,79.2,"107,352","51,733","12,206","11,605","4,373","1,130","6,735","9,034"
Small Forward,1993,4298.0,11.1,14.5,24.3,4.0,2.0,0.8,0.4,1.5,4.3,9.3,46.7,0.3,1.0,33.0,2.1,2.7,76.5,"104,620","47,750","17,018","8,695","3,606","1,742","6,269","9,293"
Power Forward,1993,4999.0,10.5,15.3,24.2,6.1,1.5,0.7,0.7,1.5,4.1,8.3,49.0,0.1,0.3,27.6,2.2,3.0,73.3,"120,840","52,418","30,579","7,594","3,430","3,316","7,524","12,970"
Center,1993,4495.0,8.4,15.0,20.7,5.6,1.1,0.5,1.1,1.3,3.3,6.6,49.6,0.0,0.1,25.1,1.8,2.6,69.1,"93,030","37,593","25,360","4,922","2,385","4,731","5,894","11,369"
Point Guard,1994,4572.0,9.4,15.0,24.1,2.3,4.7,1.1,0.1,1.8,3.6,8.1,44.5,0.5,1.4,34.1,1.7,2.2,78.6,"110,282","43,159","10,337","21,629","5,244",591,"8,079","8,054"
Shooting Guard,1994,4284.0,11.7,14.7,25.5,2.9,2.7,1.1,0.3,1.6,4.5,9.9,45.0,0.6,1.8,34.1,2.2,2.8,78.9,"109,364","50,169","12,297","11,493","4,546","1,209","6,976","8,325"
Small Forward,1994,4346.0,10.7,14.6,24.4,4.2,1.9,0.9,0.4,1.4,4.2,9.1,45.9,0.4,1.3,33.0,1.9,2.6,73.2,"106,069","46,414","18,395","8,296","3,845","1,920","6,262","9,349"
Power Forward,1994,4607.0,9.2,15.2,23.1,6.0,1.5,0.7,0.6,1.4,3.6,7.5,48.3,0.1,0.4,29.7,1.9,2.7,69.9,"106,430","42,346","27,704","6,933","3,219","2,887","6,347","11,242"
Center,1994,4750.0,9.0,15.7,21.4,5.6,1.2,0.6,1.0,1.4,3.5,7.1,49.9,0.0,0.1,28.4,1.9,2.8,68.1,"101,665","42,649","26,459","5,652","2,798","4,972","6,546","12,105"
Point Guard,1995,4447.0,9.5,15.4,24.4,2.3,4.8,1.1,0.1,1.8,3.5,7.8,44.5,0.8,2.2,36.5,1.8,2.3,78.6,"108,464","42,358","10,071","21,558","4,911",615,"8,056","8,448"
Shooting Guard,1995,4428.0,11.3,14.4,24.9,2.7,2.4,0.9,0.2,1.5,4.1,9.2,44.3,1.0,2.8,36.1,2.1,2.7,78.4,"110,227","50,062","11,876","10,789","4,045","1,084","6,712","9,185"
Small Forward,1995,4468.0,11.0,14.8,24.6,3.9,1.8,0.8,0.4,1.5,4.1,8.9,45.9,0.7,1.9,36.1,2.1,2.9,74.9,"109,869","49,180","17,628","8,083","3,783","1,873","6,639","10,223"
Power Forward,1995,4595.0,9.5,15.4,23.5,5.8,1.5,0.7,0.7,1.4,3.7,7.6,49.1,0.2,0.5,32.3,1.9,2.8,68.6,"107,951","43,810","26,696","6,896","3,294","2,996","6,580","11,797"
Center,1995,4493.0,8.7,15.0,22.1,5.7,1.0,0.5,1.1,1.4,3.4,6.8,50.3,0.1,0.2,32.4,1.8,2.6,68.8,"99,099","39,108","25,735","4,403","2,297","4,862","6,133","12,308"
Point Guard,1996,4760.0,9.9,15.8,24.5,2.3,4.6,1.1,0.1,1.8,3.5,8.1,43.8,0.9,2.6,36.9,1.9,2.5,78.3,"116,533","47,323","10,962","21,946","5,100",662,"8,701","9,321"
Shooting Guard,1996,4874.0,11.2,14.7,25.4,2.9,2.4,0.9,0.3,1.5,4.0,9.1,44.6,1.0,2.7,37.1,2.1,2.7,79.0,"123,815","54,698","14,124","11,742","4,504","1,268","7,395","10,106"
Small Forward,1996,4699.0,10.8,14.8,25.7,4.3,2.0,0.8,0.4,1.5,4.0,8.8,45.8,0.8,2.0,37.2,2.0,2.7,74.8,"120,591","50,904","20,171","9,523","3,878","2,007","7,141","10,664"
Power Forward,1996,5029.0,9.1,14.8,23.0,5.5,1.3,0.6,0.6,1.4,3.5,7.4,48.2,0.2,0.5,33.7,1.9,2.7,69.7,"115,813","45,844","27,669","6,405","3,124","3,081","6,830","12,547"
Center,1996,4544.0,8.3,14.9,21.5,5.5,1.0,0.5,1.1,1.4,3.3,6.6,49.7,0.0,0.1,27.5,1.7,2.6,67.9,"97,818","37,850","25,173","4,334","2,346","5,020","6,213","12,168"
Point Guard,1997,4693.0,9.7,15.6,24.6,2.3,4.5,1.1,0.1,1.8,3.5,8.0,43.1,1.0,2.7,36.0,1.8,2.3,78.0,"115,606","45,503","10,677","20,972","5,059",647,"8,374","8,642"
Shooting Guard,1997,4734.0,11.0,14.7,25.3,2.8,2.3,1.0,0.3,1.5,3.9,9.0,43.3,1.1,3.0,36.9,2.1,2.6,79.8,"119,865","52,181","13,250","10,972","4,525","1,200","7,151","9,130"
Small Forward,1997,4553.0,10.9,14.7,26.4,4.1,2.1,0.9,0.4,1.5,4.1,9.0,45.1,0.8,2.1,35.9,2.0,2.7,75.2,"120,099","49,508","18,646","9,469","4,098","2,036","7,002","10,413"
Power Forward,1997,5059.0,9.3,15.3,23.8,5.9,1.3,0.7,0.6,1.4,3.6,7.5,48.0,0.2,0.5,32.7,1.9,2.8,69.5,"120,249","46,983","29,626","6,793","3,459","3,013","7,209","12,307"
Center,1997,4718.0,7.7,14.7,21.1,5.4,0.9,0.5,1.0,1.3,3.0,6.2,49.1,0.0,0.1,31.8,1.6,2.4,67.1,"99,351","36,258","25,504","4,220","2,345","4,778","6,042","12,110"
Point Guard,1998,4917.0,8.7,14.6,23.9,2.3,4.3,1.1,0.1,1.7,3.2,7.6,42.1,0.6,1.8,33.6,1.7,2.2,78.3,"117,635","42,843","11,250","21,082","5,224",672,"8,445","9,070"
Shooting Guard,1998,4858.0,10.7,14.5,25.2,2.8,2.3,0.9,0.2,1.4,3.9,9.0,43.2,0.9,2.5,36.7,2.0,2.5,79.5,"122,424","51,911","13,624","10,952","4,527","1,166","6,904","9,220"
Small Forward,1998,4490.0,10.5,14.9,25.4,4.1,1.9,0.9,0.4,1.5,3.9,8.7,45.2,0.5,1.5,34.3,2.2,2.8,76.0,"114,047","47,192","18,282","8,671","4,021","1,970","6,762","10,216"
Power Forward,1998,5057.0,9.5,15.6,24.1,5.8,1.4,0.7,0.6,1.4,3.7,7.8,47.4,0.1,0.4,29.1,2.1,3.0,69.4,"121,856","48,257","29,451","7,183","3,707","3,219","7,329","12,665"
Center,1998,4679.0,7.9,15.5,21.2,5.6,1.0,0.5,1.1,1.2,3.1,6.4,48.2,0.0,0.2,28.7,1.7,2.6,66.7,"99,158","37,066","26,191","4,498","2,464","5,035","5,847","12,107"
Point Guard,1999,3001.0,8.6,15.0,24.2,2.4,4.2,1.1,0.1,1.7,3.2,7.6,41.5,0.7,2.0,33.4,1.6,2.0,76.9,"72,558","25,679","7,167","12,493","3,161",368,"5,179","5,303"
Shooting Guard,1999,2655.0,10.0,14.3,24.9,2.9,2.2,0.9,0.3,1.5,3.6,8.7,41.3,0.9,2.6,34.5,2.0,2.5,79.3,"66,223","26,564","7,632","5,803","2,451",665,"4,005","4,777"
Small Forward,1999,2900.0,10.0,14.7,25.3,3.9,1.8,0.9,0.4,1.4,3.7,8.6,43.0,0.6,1.6,35.1,2.0,2.7,75.8,"73,478","29,011","11,256","5,318","2,697","1,157","4,090","6,341"
Power Forward,1999,3400.0,8.6,15.5,22.4,5.2,1.1,0.7,0.6,1.3,3.3,7.1,46.0,0.1,0.4,30.5,1.9,2.7,69.9,"76,022","29,281","17,747","3,849","2,227","2,068","4,444","8,085"
Center,1999,2965.0,7.5,15.6,21.0,5.6,0.9,0.5,1.0,1.2,2.9,6.1,47.5,0.0,0.1,21.7,1.7,2.6,64.5,"62,369","22,257","16,593","2,587","1,577","2,938","3,524","7,700"
Point Guard,2000,5151.0,8.7,14.8,23.1,2.4,4.2,1.0,0.1,1.6,3.2,7.7,42.2,0.7,2.0,34.5,1.5,1.9,78.8,"118,885","44,699","12,151","21,707","4,931",632,"8,356","9,306"
Shooting Guard,2000,4412.0,11.1,14.6,25.7,3.1,2.3,0.9,0.3,1.5,4.1,9.4,43.4,0.9,2.4,36.5,2.1,2.7,80.1,"113,185","49,042","13,891","10,075","4,082","1,170","6,513","9,229"
Small Forward,2000,4907.0,10.8,15.1,25.4,4.2,2.1,0.9,0.4,1.5,4.1,9.1,44.7,0.6,1.7,35.9,2.1,2.7,77.1,"124,676","53,169","20,589","10,068","4,230","2,102","7,304","11,182"
Power Forward,2000,4949.0,9.4,15.5,23.4,5.7,1.4,0.7,0.6,1.4,3.6,7.8,46.9,0.2,0.7,33.0,1.9,2.7,72.0,"115,635","46,664","28,362","6,868","3,347","3,102","7,069","12,567"
Center,2000,4879.0,7.8,14.9,20.9,5.5,0.9,0.5,1.1,1.3,3.0,6.4,47.9,0.0,0.1,31.3,1.7,2.5,68.0,"101,889","38,215","27,069","4,412","2,278","5,287","6,130","13,124"
Point Guard,2001,5203.0,8.6,14.8,23.6,2.4,4.1,0.9,0.1,1.6,3.2,7.7,42.2,0.7,1.9,35.3,1.5,1.9,79.1,"122,948","44,960","12,528","21,106","4,866",644,"8,217","9,354"
Shooting Guard,2001,4093.0,11.8,15.3,27.2,3.2,2.6,1.0,0.3,1.5,4.2,9.9,42.7,0.9,2.5,36.6,2.4,3.0,81.3,"111,503","48,173","13,054","10,584","4,041","1,152","6,342","8,396"
Small Forward,2001,4911.0,10.5,14.7,25.0,4.1,1.8,0.8,0.4,1.5,4.0,9.0,44.3,0.6,1.7,35.0,1.9,2.5,76.0,"122,692","51,461","20,173","9,055","3,959","1,912","7,211","10,949"
Power Forward,2001,4987.0,9.3,15.5,23.6,5.6,1.4,0.7,0.7,1.4,3.6,7.8,45.9,0.2,0.7,33.7,1.9,2.7,71.2,"117,760","46,456","27,937","7,094","3,335","3,533","6,837","12,206"
Center,2001,4778.0,7.2,14.7,21.1,5.7,0.8,0.5,1.1,1.2,2.8,6.0,47.0,0.0,0.1,23.7,1.6,2.4,66.8,"100,617","34,409","27,296","3,947","2,399","5,264","5,635","12,238"
Point Guard,2002,4902.0,9.5,15.3,24.7,2.5,4.4,1.0,0.1,1.6,3.6,8.4,42.2,0.8,2.2,34.8,1.7,2.1,79.6,"120,869","46,730","12,446","21,700","4,785",676,"8,035","8,648"
Shooting Guard,2002,4572.0,11.2,15.0,26.0,3.2,2.3,0.9,0.3,1.4,4.1,9.5,43.6,1.0,2.5,37.3,2.0,2.4,80.2,"118,704","51,089","14,654","10,648","4,243","1,349","6,443","8,511"
Small Forward,2002,4531.0,10.8,14.6,26.0,4.3,2.0,0.9,0.4,1.5,4.1,9.4,44.1,0.6,1.8,33.6,1.9,2.5,76.9,"117,877","49,070","19,549","8,997","3,882","1,965","6,706","9,631"
Power Forward,2002,4821.0,9.2,15.2,23.7,5.6,1.4,0.6,0.7,1.3,3.5,7.7,45.8,0.2,0.7,34.5,1.9,2.6,73.3,"114,419","44,482","26,891","6,929","3,125","3,394","6,412","11,586"
Center,2002,5083.0,7.0,14.8,20.2,5.4,0.8,0.5,1.0,1.0,2.7,5.7,47.9,0.1,0.2,35.5,1.5,2.2,66.9,"102,801","35,672","27,289","3,857","2,503","5,038","5,257","12,121"
Point Guard,2003,4705.0,9.6,15.1,24.8,2.5,4.1,1.0,0.1,1.7,3.5,8.3,42.2,0.8,2.2,34.8,1.8,2.2,80.3,"116,645","45,102","11,886","19,123","4,473",646,"7,958","8,688"
Shooting Guard,2003,4700.0,10.8,15.1,25.0,3.1,2.4,0.9,0.3,1.5,3.9,9.2,42.7,0.8,2.3,35.6,2.1,2.6,79.8,"117,283","50,636","14,780","11,208","4,373","1,193","6,891","8,841"
Small Forward,2003,4838.0,10.2,14.4,25.5,4.1,1.8,0.9,0.4,1.4,3.9,8.8,43.9,0.7,1.9,35.3,1.9,2.4,77.7,"123,496","49,584","20,054","8,907","4,247","1,855","6,877","10,479"
Power Forward,2003,4303.0,10.2,16.2,25.0,6.0,1.7,0.7,0.7,1.4,3.9,8.5,46.0,0.3,0.9,33.6,2.1,2.8,72.9,"107,675","43,977","25,813","7,156","3,047","2,921","6,186","10,326"
Center,2003,5393.0,6.8,14.3,20.5,5.2,0.9,0.5,1.0,1.1,2.7,5.6,47.3,0.0,0.1,30.1,1.5,2.2,68.6,"110,321","36,803","28,071","4,739","2,744","5,313","6,021","13,396"
Point Guard,2004,4495.0,9.3,14.8,24.8,2.5,4.2,1.0,0.1,1.8,3.4,8.2,41.4,0.8,2.3,34.3,1.7,2.2,79.2,"111,507","41,976","11,135","18,675","4,418",639,"7,918","8,350"
Shooting Guard,2004,4480.0,11.4,15.0,26.7,3.2,2.7,1.0,0.3,1.5,4.2,10.0,41.8,0.9,2.6,34.8,2.1,2.6,79.7,"119,419","51,004","14,447","12,015","4,360","1,140","6,919","8,452"
Small Forward,2004,4777.0,9.5,14.0,24.4,3.8,1.6,0.8,0.3,1.3,3.6,8.1,43.7,0.7,1.9,36.0,1.8,2.3,76.8,"116,715","45,613","18,221","7,713","4,007","1,482","6,277","9,793"
Power Forward,2004,5035.0,9.6,16.4,24.2,5.9,1.6,0.7,0.7,1.4,3.7,8.0,45.7,0.3,0.8,33.5,2.0,2.8,73.6,"121,902","48,513","29,625","7,881","3,595","3,699","7,245","11,865"
Center,2004,5107.0,6.9,14.6,20.6,5.3,0.9,0.5,1.0,1.1,2.7,5.6,47.9,0.0,0.1,26.9,1.5,2.2,67.2,"105,227","34,991","26,933","4,374","2,484","5,062","5,507","12,546"
Point Guard,2005,5003.0,9.8,15.3,24.6,2.4,4.2,0.9,0.1,1.7,3.5,8.3,42.5,0.8,2.3,35.2,1.9,2.4,80.1,"122,988","49,258","12,095","21,088","4,693",595,"8,279","9,698"
Shooting Guard,2005,4937.0,10.2,14.0,24.7,3.0,2.2,0.8,0.2,1.3,3.6,8.5,42.5,0.8,2.4,35.4,2.1,2.6,79.9,"122,114","50,182","14,949","11,101","4,173","1,149","6,648","9,978"
Small Forward,2005,4676.0,11.2,14.9,26.1,4.0,1.9,0.8,0.4,1.4,4.1,9.2,44.6,0.8,2.2,37.0,2.1,2.7,77.1,"121,868","52,154","18,767","9,103","3,897","1,744","6,738","10,118"
Power Forward,2005,4803.0,10.3,16.4,24.9,6.2,1.4,0.7,0.7,1.4,3.9,8.5,46.3,0.3,0.9,34.2,2.2,2.9,73.7,"119,503","49,685","29,683","6,933","3,352","3,575","6,575","11,882"
Center,2005,5536.0,6.8,14.4,19.6,5.0,0.7,0.4,0.9,1.1,2.6,5.4,49.2,0.0,0.1,32.2,1.5,2.2,67.4,"108,527","37,830","27,476","4,117","2,374","4,900","5,844","13,995"
Point Guard,2006,5052.0,10.2,15.2,25.0,2.4,4.0,0.9,0.1,1.7,3.7,8.5,42.8,0.9,2.3,36.3,2.0,2.6,79.1,"126,201","51,425","12,349","20,095","4,603",654,"8,431","10,134"
Shooting Guard,2006,4731.0,11.4,14.8,26.2,3.0,2.4,0.9,0.2,1.5,4.1,9.4,43.9,1.0,2.6,36.5,2.3,2.8,79.3,"123,980","54,124","14,327","11,420","4,117","1,063","7,093","9,737"
Small Forward,2006,4667.0,10.2,14.7,25.1,4.0,1.7,0.8,0.4,1.3,3.7,8.2,44.7,0.7,1.9,35.4,2.2,2.9,74.8,"117,203","47,715","18,726","8,121","3,609","2,044","6,122","9,982"
Power Forward,2006,5177.0,9.7,16.2,23.3,5.4,1.4,0.6,0.6,1.3,3.7,7.8,47.3,0.3,0.9,34.7,1.9,2.7,72.7,"120,643","50,156","28,101","7,239","2,986","3,022","6,541","12,430"
Center,2006,5289.0,6.7,13.9,20.3,5.2,0.7,0.4,0.9,1.1,2.6,5.3,49.9,0.1,0.2,32.2,1.3,2.0,65.3,"107,527","35,221","27,251","3,836","2,317","4,777","5,689","13,703"
Point Guard,2007,4880.0,9.5,14.8,24.0,2.4,4.1,0.9,0.1,1.7,3.4,8.0,42.6,0.8,2.3,34.6,1.8,2.3,80.0,"116,947","46,207","11,602","20,038","4,233",544,"8,102","9,126"
Shooting Guard,2007,5060.0,11.0,14.8,25.0,2.7,2.4,0.8,0.2,1.5,3.9,8.9,44.2,0.9,2.6,36.7,2.2,2.8,80.1,"126,720","55,847","13,789","12,299","4,279","1,031","7,457","9,809"
Small Forward,2007,4514.0,11.6,15.2,27.1,4.2,1.9,0.9,0.4,1.5,4.2,9.3,45.5,0.9,2.5,36.5,2.2,2.9,76.4,"122,196","52,448","18,881","8,557","3,838","2,030","6,618","9,746"
Power Forward,2007,5647.0,8.4,14.7,21.3,4.9,1.2,0.5,0.5,1.2,3.2,6.9,47.1,0.3,0.9,35.3,1.6,2.2,73.4,"120,263","47,541","27,548","6,628","3,010","2,696","6,834","12,936"
Center,2007,4985.0,8.2,15.6,22.0,5.9,1.0,0.5,1.0,1.3,3.2,6.2,51.2,0.1,0.2,33.0,1.8,2.6,66.3,"109,637","40,856","29,174","4,843","2,447","5,028","6,702","13,049"
Point Guard,2008,4855.0,9.4,14.6,24.2,2.4,4.2,0.9,0.1,1.6,3.5,8.0,43.3,0.8,2.3,36.0,1.6,2.0,79.8,"117,451","45,609","11,562","20,610","4,313",618,"7,638","8,699"
Shooting Guard,2008,5219.0,11.5,14.7,25.4,3.0,2.4,0.8,0.2,1.4,4.1,9.4,44.1,1.1,3.0,36.9,2.1,2.6,80.1,"132,425","59,834","15,774","12,498","4,117","1,148","7,291","9,488"
Small Forward,2008,4646.0,11.1,14.8,25.5,3.9,1.9,0.8,0.4,1.3,4.0,9.0,45.0,0.9,2.4,37.1,2.1,2.7,77.3,"118,613","51,361","18,311","8,756","3,725","1,902","6,190","9,504"
Power Forward,2008,5022.0,9.3,15.3,22.7,5.3,1.3,0.7,0.6,1.2,3.6,7.6,47.2,0.4,1.1,33.8,1.7,2.4,73.0,"114,097","46,707","26,538","6,388","3,268","2,898","5,811","11,610"
