season,team,Pre-Season,Post-Reg_Season,Mean,Median,Min,Max,winner,won
1991,SAC,1352.0129,1345.1161,1323.8245219512194,1323.0875999999998,1280.261,1323.0875999999998,CHI,False
1991,BKN,1282.8723,1323.5033,1325.8467073170732,1321.60815,1270.0067,1321.60815,CHI,False
1991,MIL,1480.427,1538.5338,1533.6543890243902,1528.10695,1477.48,1528.10695,CHI,False
1991,GSW,1437.6775,1521.3715,1493.1365207317072,1491.3125,1443.3474,1491.3125,CHI,False
1991,PHI,1550.9917,1473.83,1525.4416536585366,1526.80255,1473.83,1526.80255,CHI,False
1991,NYK,1488.072,1492.6891,1472.933575609756,1472.2860999999998,1415.3883,1472.2860999999998,CHI,False
1991,CLE,1536.9495,1436.3801,1438.9949804878047,1407.77135,1382.3337,1407.77135,CHI,False
1991,ORL,1282.5435,1437.1603,1334.8330536585363,1323.68525,1257.106,1323.68525,CHI,False
1991,HOU,1514.5411,1583.9113,1559.967706097561,1547.61645,1504.3076,1547.61645,CHI,False
1991,DAL,1512.7457,1334.0659,1420.6428243902435,1413.65555,1320.5658,1413.65555,CHI,False
1991,CHA,1354.6487,1365.6472,1345.2692,1341.75925,1309.0039,1341.75925,CHI,False
1991,UTA,1561.0042,1578.431,1577.922406097561,1580.5938,1519.9237,1580.5938,CHI,False
1991,ATL,1529.6598,1500.0299,1524.9920036585363,1531.26075,1448.0264,1531.26075,CHI,False
1991,DEN,1479.2312,1246.6681,1331.365819512195,1309.67225,1235.2777,1309.67225,CHI,False
1991,LAC,1377.0623,1409.4899,1384.3496975609755,1377.6188,1342.5962,1377.6188,CHI,False
1991,MIN,1382.1302,1407.597,1364.9903914634149,1361.9514,1336.0917,1361.9514,CHI,False
1991,IND,1471.5242,1510.7902,1470.5892207317072,1462.6006,1425.4578,1462.6006,CHI,False
1991,POR,1602.6233,1696.0553,1667.817568292683,1672.2733,1604.401,1672.2733,CHI,False
1991,PHX,1616.8882,1626.5895,1636.6699902439022,1632.8605,1597.4183,1632.8605,CHI,False
1991,BOS,1552.9558,1547.5155,1619.244557317073,1625.2803,1545.2537,1625.2803,CHI,False
1991,MIA,1310.3363,1318.3586,1318.852068292683,1321.68175,1271.0785,1321.68175,CHI,False
1991,DET,1663.2491,1552.2908,1615.7847646341463,1632.10785,1526.0167,1632.10785,CHI,False
1991,LAL,1622.3853,1648.1193,1645.120504878049,1646.4812,1585.8773,1646.4812,CHI,False
1991,OKC,1492.9253,1516.48,1486.2392,1492.8689,1418.2694,1492.8689,CHI,False
1991,SAS,1603.3159,1616.9822,1609.3035524390243,1610.9098,1560.3691,1610.9098,CHI,False
1992,SAS,1564.1609,1519.3893,1579.445874390244,1584.68945,1519.3893,1584.68945,CHI,False
1992,OKC,1523.8517,1586.9651,1528.4861012195122,1531.3601,1465.0288,1531.3601,CHI,False
1992,ORL,1454.1202,1313.543,1351.0683975609757,1334.62,1275.6743,1334.62,CHI,False
1992,SAC,1385.087,1395.0767,1354.0696585365854,1352.992,1309.887,1352.992,CHI,False
1992,CHI,1715.1837,1768.6804,1753.5749914634146,1757.8704,1693.1348,1757.8704,CHI,True
1992,PHX,1562.2389,1618.4777,1597.8300841463415,1606.06615,1528.9376,1606.06615,CHI,False
1992,DAL,1376.7994,1272.1171,1326.5214536585363,1324.74585,1229.974,1324.74585,CHI,False
1992,LAC,1433.3674,1546.0933,1475.422837804878,1468.71925,1409.994,1468.71925,CHI,False
1992,POR,1635.6674,1652.6302,1648.0659451219512,1658.995,1585.4856,1658.995,CHI,False
1992,MIN,1431.9478,1265.3918,1324.4210475609757,1317.98825,1234.5822,1317.98825,CHI,False
1992,CLE,1453.5352,1633.5573,1569.9328012195122,1587.8946999999998,1447.6075,1587.8946999999998,CHI,False
1992,UTA,1583.8112,1648.3168,1596.762106097561,1596.18255,1550.4092,1596.18255,CHI,False
1992,DET,1527.3724,1547.0524,1542.8757695121951,1549.2166499999998,1477.0054,1549.2166499999998,CHI,False
1992,DEN,1311.2511,1249.438,1332.7676365853658,1338.5378,1249.438,1338.5378,CHI,False
1992,BOS,1538.9696,1624.1571,1549.3359451219512,1545.10805,1503.1908,1545.10805,CHI,False
1992,WAS,1391.1013,1339.05,1376.8221304878048,1377.0271,1325.9579,1377.0271,CHI,False
1992,LAL,1622.8901,1492.1367,1532.3951695121953,1523.6509,1453.7501,1523.6509,CHI,False
1992,MIL,1501.8239,1380.3634,1470.4809646341464,1482.3656500000002,1380.3634,1482.3656500000002,CHI,False
1992,IND,1511.7568,1541.9318,1507.839868292683,1509.37875,1460.3676,1509.37875,CHI,False
1992,GSW,1528.6768,1595.6471,1580.764743902439,1583.9498,1532.1229,1583.9498,CHI,False
1992,CHA,1400.4854,1375.1222,1394.257112195122,1380.66315,1331.7349,1380.66315,CHI,False
1992,PHI,1503.0315,1419.1786,1469.141992682927,1477.7659,1400.2424,1477.7659,CHI,False
1992,NYK,1485.0859,1586.5751,1548.7183134146342,1553.5473000000002,1463.7378,1553.5473000000002,CHI,False
1992,HOU,1553.295,1456.0812,1487.9015841463415,1476.6464,1442.1276,1476.6464,CHI,False
1992,BKN,1368.8774,1504.0244,1414.3819585365854,1423.2503000000002,1320.8794,1423.2503000000002,CHI,False
1992,ATL,1492.6077,1457.7793,1485.461818292683,1489.6826500000002,1442.9664,1489.6826500000002,CHI,False
1992,MIA,1365.019,1433.2393,1416.8704524390243,1417.4456,1373.2944,1417.4456,CHI,False
1993,SAS,1502.9583,1525.0255,1562.189617073171,1557.5748,1466.7151,1557.5748,CHI,False
1993,NYK,1590.0092,1704.323,1630.5274439024388,1626.547,1578.5651,1626.547,CHI,False
1993,MIN,1325.2939,1264.8491,1302.1512548780488,1303.5321,1256.6791,1303.5321,CHI,False
1993,WAS,1380.5376,1299.2819,1351.1571365853658,1356.3327,1299.2819,1356.3327,CHI,False
1993,CHI,1697.6267,1679.0612,1672.292593902439,1668.5541,1619.2666,1668.5541,CHI,True
1993,MIL,1411.5226,1357.2732,1416.508331707317,1402.942,1357.2732,1402.942,CHI,False
1993,HOU,1468.3109,1649.6166,1546.926848780488,1520.1367,1440.2158,1520.1367,CHI,False
1993,LAL,1482.0496,1422.7394,1472.5330085365854,1480.82565,1409.4764,1480.82565,CHI,False
1993,MIA,1446.3146,1476.3217,1447.5449682926828,1428.78015,1392.554,1428.78015,CHI,False
1993,BKN,1497.2373,1500.5073,1514.863279268293,1507.22465,1453.3384,1507.22465,CHI,False
1993,GSW,1565.4242,1437.7209,1500.4033865853658,1518.9087,1408.3004,1518.9087,CHI,False
1993,CHA,1407.5917,1493.3345,1466.6353719512194,1471.9780500000002,1394.6202,1471.9780500000002,CHI,False
1993,CLE,1623.1532,1668.8829,1630.4847000000002,1630.1884,1574.5632,1630.1884,CHI,False
1993,DET,1527.5417,1509.3882,1487.720492682927,1488.11985,1428.8962,1488.11985,CHI,False
1993,OKC,1561.5071,1625.9752,1617.973430487805,1626.41415,1571.567,1626.41415,CHI,False
1993,LAC,1539.9475,1502.1608,1523.4371573170731,1526.8397,1469.1339,1526.8397,CHI,False
1993,ORL,1361.4072,1498.0055,1469.903931707317,1477.7924,1371.2158,1477.7924,CHI,False
1993,SAC,1422.5575,1342.7185,1394.8900841463417,1393.45695,1329.965,1393.45695,CHI,False
1993,PHI,1440.6339,1347.8418,1392.1798670731707,1402.0545499999998,1313.8954,1402.0545499999998,CHI,False
1993,ATL,1469.5845,1539.8877,1470.7541731707315,1461.7474,1372.9646,1461.7474,CHI,False
1993,BOS,1600.9678,1568.7424,1541.3568451219512,1538.60525,1490.735,1538.60525,CHI,False
1993,UTA,1606.4431,1520.507,1559.071287804878,1569.07295,1490.624,1569.07295,CHI,False
1993,IND,1521.4877,1534.0159,1518.1188890243902,1517.7779,1476.629,1517.7779,CHI,False
1993,DAL,1330.3378,1187.5287,1187.3043402439023,1167.1799,1111.1008,1167.1799,CHI,False
1993,DEN,1313.3285,1450.826,1386.982624390244,1388.0629,1303.4905,1388.0629,CHI,False
1993,PHX,1593.3826,1651.2712,1665.2427158536586,1672.94195,1591.2275,1672.94195,CHI,False
1993,POR,1638.105,1567.4554,1599.676548780488,1592.06195,1535.4904,1592.06195,CHI,False
1994,ATL,1517.0958,1617.692,1599.9435012195122,1616.45465,1501.5851,1616.45465,HOU,False
1994,CLE,1597.7854,1586.6498,1580.555224390244,1581.1292,1526.8829,1581.1292,HOU,False
1994,PHI,1387.1313,1306.6183,1381.2895780487804,1384.25635,1285.5992,1384.25635,HOU,False
1994,SAS,1534.6267,1628.264,1603.7033414634143,1621.0931500000002,1499.5715,1621.0931500000002,HOU,False
1994,SAC,1383.2888,1385.7539,1365.20265,1367.85085,1316.0366,1367.85085,HOU,False
1994,UTA,1516.2079,1615.5739,1572.0462817073171,1572.31575,1518.8027,1572.31575,HOU,False
1994,DAL,1266.8965,1257.1727,1221.5809731707318,1219.2887,1180.7128,1219.2887,HOU,False
1994,DEN,1464.3695,1568.6989,1505.1085963414637,1490.32605,1451.7532,1490.32605,HOU,False
1994,MIA,1483.4912,1519.1305,1535.433318292683,1528.92335,1461.7836,1528.92335,HOU,False
1994,LAL,1453.1211,1403.5938,1415.769207317073,1413.07465,1375.3842,1413.07465,HOU,False
1994,LAC,1511.0464,1341.6014,1413.4459841463415,1395.6875,1341.6014,1395.6875,HOU,False
1994,POR,1543.5698,1568.3868,1563.702993902439,1558.42125,1525.5015,1558.42125,HOU,False
1994,BKN,1511.7532,1556.6289,1521.90215,1522.3132999999998,1464.4763,1522.3132999999998,HOU,False
1994,HOU,1601.1984,1594.7841,1626.9256682926828,1625.01405,1567.3817,1625.01405,HOU,True
1994,DET,1508.2911,1277.0359,1380.0208780487806,1359.51295,1277.0359,1359.51295,HOU,False
1994,CHI,1670.7609,1575.119,1618.5275317073172,1618.9472,1560.6902,1618.9472,HOU,False
1994,NYK,1635.9979,1652.3975,1653.2798585365854,1652.41835,1611.7651,1652.41835,HOU,False
1994,ORL,1499.7542,1621.5413,1559.7239609756098,1564.70525,1497.5717,1564.70525,HOU,False
1994,MIL,1394.2048,1282.147,1344.4097256097562,1352.8188,1281.8634,1352.8188,HOU,False
1994,MIN,1324.8868,1255.801,1320.9710597560977,1319.88165,1255.801,1319.88165,HOU,False
1994,CHA,1512.8318,1514.9506,1491.7827548780488,1511.2053,1387.8959,1511.2053,HOU,False
1994,BOS,1534.3252,1402.5515,1444.5151780487806,1435.61275,1378.5991,1435.61275,HOU,False
1994,PHX,1612.8606,1655.1932,1629.9160951219517,1632.38825,1570.5978,1632.38825,HOU,False
1994,WAS,1350.7114,1344.3734,1344.0231402439026,1346.0229,1274.8558,1346.0229,HOU,False
1994,IND,1534.626,1600.4978,1546.5896609756096,1546.17795,1483.7888,1546.17795,HOU,False
1994,GSW,1454.5408,1563.5389,1505.72685,1512.0227,1439.104,1512.0227,HOU,False
1994,OKC,1597.3223,1706.9999,1662.8400695121952,1662.522,1604.589,1662.522,HOU,False
1995,BOS,1428.1636,1464.3521,1431.3075317073171,1429.4152,1380.3544,1429.4152,HOU,False
1995,ATL,1578.7682,1542.4812,1524.618225609756,1525.7647499999998,1474.5553,1525.7647499999998,HOU,False
1995,GSW,1537.5773,1359.2572,1435.9790329268294,1404.8856,1344.024,1404.8856,HOU,False
1995,ORL,1576.7491,1599.7856,1644.3230804878049,1652.2374,1570.1793,1652.2374,HOU,False
1995,MIA,1510.3447,1442.8275,1460.710930487805,1460.20055,1435.2037,1460.20055,HOU,False
1995,PHX,1601.7634,1615.4131,1618.331282926829,1612.27135,1572.5912,1612.27135,HOU,False
1995,MIL,1337.8602,1407.5898,1368.6047890243904,1366.03375,1340.6104,1366.03375,HOU,False
